Names,inchikey,smiles
1-stearoyl-2-oleoyl-GPS (18:0/18:1),AJFWREUFUPEYII-PAHWMLEVSA-N,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](C(=O)O)N)OC(=O)CCCCCCC/C=C\CCCCCCCC
tartarate,FEWJPZIEWOKRBE-JCYAYHJZSA-N,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
biocytin,BAQMYDQNMFBZNA-MNXVOIDGSA-N,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)NCCCC[C@@H](C(=O)O)N)NC(=O)N2
indolelactate,XGILAAMKEQUXLS-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O
N-methylpipecolate,BPSLZWSRHTULGU-ZCFIWIBFSA-N,CN1CCCC[C@@H]1C(=O)O
10-heptadecenoate (17:1n7),GDTXICBNEOEPAZ-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCCC(=O)O
ondansetron,FELGMEQIXOGIFQ-UHFFFAOYSA-N,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C
cytidine,UHDGCWIWMRVCDJ-XVFCMESISA-N,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",KYICBZWZQPCUMO-PSALXKTOSA-N,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCC)O
vitexin,SGEWCQFRYRRZDC-VPRICQMDSA-N,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
N-acetylvaline,IHYJTAOFMMMOPX-LURJTMIESA-N,CC(C)[C@@H](C(=O)O)NC(=O)C
gabapentin,UGJMXCAKCUNAIE-UHFFFAOYSA-N,C1CCC(CC1)(CC(=O)O)CN
1-methylurate,QFDRTQONISXGJA-UHFFFAOYSA-N,CN1C(=O)C2=C(NC(=O)N2)NC1=O
12-dehydrocholate,MIHNUBCEFJLAGN-DMMBONCOSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
2-oleoylglycerol (18:1),UPWGQKDVAURUGE-KTKRTIGZSA-N,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO
1-oleoyl-GPE (18:1),PYVRVRFVLRNJLY-MZMPXXGTSA-N,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)O
N-acetyltryptophan,DZTHIGRZJZPRDV-LBPRGKRZSA-N,CC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O
propionylglycine (C3),WOMAZEJKVZLLFE-UHFFFAOYSA-N,CCC(=O)NCC(=O)O
lisinopril,RLAWWYSOJDYHDC-UHFFFAOYSA-N,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O
pregnanediol-3-glucuronide,ZFFFJLDTCLJDHL-JQYCEVDMSA-N,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)C(=O)O)O)O)O)C)C)O
famotidine,XUFQPHANEAPEMJ-UHFFFAOYSA-N,C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
3-methyladipate,SYEOWUNSTUDKGM-UHFFFAOYSA-N,CC(CCC(=O)O)CC(=O)O
1-margaroylglycerol (17:0),SVUQHVRAGMNPLW-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(=O)OCC(CO)O
fexofenadine,RWTNPBWLLIMQHL-UHFFFAOYSA-N,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O
hydroxybupropion,AKOAEVOSDHIVFX-UHFFFAOYSA-N,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)CO
phosphate,NBIIXXVUZAFLBC-UHFFFAOYSA-K,[O-]P(=O)([O-])[O-]
methionine sulfone,UCUNFLYVYCGDHP-UHFFFAOYSA-N,CS(=O)(=O)CCC(C(=O)O)N
adipoylcarnitine (C6-DC),BSVHAXJKBCWVDA-UHFFFAOYSA-N,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCC(=O)O
"2S,3R-dihydroxybutyrate",LOUGYXZSURQALL-GBXIJSLDSA-N,C[C@H]([C@@H](C(=O)O)O)O
