Names,inchikey,inchi code
3-hydroxyisobutyrate,DBXBTMSZEOQQDU-UHFFFAOYSA-N,"InChI=1S/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)"
2-arachidonoylglycerol (20:4),RCRCTBLIHCHWDZ-DOFZRALJSA-N,"InChI=1S/C23H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(26)27-22(20-24)21-25/h6-7,9-10,12-13,15-16,22,24-25H,2-5,8,11,14,17-21H2,1H3/b7-6-,10-9-,13-12-,16-15-"
ergosterol,DNVPQKQSNYMLRS-APGDWVJJSA-N,"InChI=1S/C28H44O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,18-20,22,24-26,29H,11-17H2,1-6H3/b8-7+/t19-,20+,22-,24+,25-,26-,27-,28+/m0/s1"
dCMP,NCMVOABPESMRCP-SHYZEUOFSA-N,"InChI=1S/C9H14N3O7P/c10-7-1-2-12(9(14)11-7)8-3-5(13)6(19-8)4-18-20(15,16)17/h1-2,5-6,8,13H,3-4H2,(H2,10,11,14)(H2,15,16,17)/t5-,6+,8+/m0/s1"
N-acetylputrescine,KLZGKIDSEJWEDW-UHFFFAOYSA-N,"InChI=1S/C6H14N2O/c1-6(9)8-5-3-2-4-7/h2-5,7H2,1H3,(H,8,9)"
"1,2-dilinoleoyl-GPC (18:2/18:2)",FVXDQWZBHIXIEJ-LNDKUQBDSA-N,"InChI=1S/C44H80NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-34-36-43(46)50-40-42(41-52-54(48,49)51-39-38-45(3,4)5)53-44(47)37-35-33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h14-17,20-23,42H,6-13,18-19,24-41H2,1-5H3/b16-14-,17-15-,22-20-,23-21-/t42-/m1/s1"
N-acetyl-cadaverine,RMOIHHAKNOFHOE-UHFFFAOYSA-N,"InChI=1S/C7H16N2O/c1-7(10)9-6-4-2-3-5-8/h2-6,8H2,1H3,(H,9,10)"
cortolone glucuronide (1),OKNSFVSKHQJVRN-XAYCFROHSA-N,"InChI=1S/C27H42O11/c1-25-9-13(37-24-21(33)19(31)20(32)22(38-24)23(34)35)5-3-12(25)4-6-14-15-7-8-27(36,17(30)11-28)26(15,2)10-16(29)18(14)25/h12-15,17-22,24,28,30-33,36H,3-11H2,1-2H3,(H,34,35)/t12?,13?,14?,15?,17?,18?,19-,20-,21+,22-,24+,25?,26?,27?/m0/s1"
loperamide,RDOIQAHITMMDAJ-UHFFFAOYSA-N,"InChI=1S/C29H33ClN2O2/c1-31(2)27(33)29(24-9-5-3-6-10-24,25-11-7-4-8-12-25)19-22-32-20-17-28(34,18-21-32)23-13-15-26(30)16-14-23/h3-16,34H,17-22H2,1-2H3"
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),WMCQWXZMVIETAO-UHFFFAOYSA-N,"InChI=1S/C12H16O5/c1-3-4-8-7(2)11(12(15)16)9(17-8)5-6-10(13)14/h3-6H2,1-2H3,(H,13,14)(H,15,16)"
