BIOCHEMICAL,pathway_sortorder,super_pathway,sub_pathway,comp_id,platform,chemical_id,ri,mass,pubchem,cas,kegg,hmdb,inchikey
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,2845,Lipid,Diacylglycerol,54968,LC/MS Pos Late,100010941,2720.0,634.5405,,,,,
dihydrokaempferol,4528,Xenobiotics,Food Component/Plant,37116,LC/MS Neg,100001819,2510.0,287.0561,122850,480-20-6;5150-32-3,C00974,HMDB30847,
creatine,496,Amino Acid,Creatine Metabolism,27718,LC/MS Pos Early,1221,1947.0,132.0768,586,57-00-1,C00300,HMDB00064,
"bilirubin (E,Z or Z,E)*",4306,Cofactors and Vitamins,Hemoglobin and Porphyrin Metabolism,47886,LC/MS Pos Late,100001951,1265.0,585.2708,5799469,,,HMDB00488,
3-hydroxypalmitoylcarnitine,1868,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",61839,LC/MS Pos Late,100019800,1380.0,416.3371,,,,,
fucose,1354,Carbohydrate,Aminosugar Metabolism,15587,LC/MS Pos Early,918,750.0,164.0917,17106,2438-80-4,C01018,HMDB00174,
2-methylmalonylcarnitine (C4-DC),1726,Lipid,Fatty Acid Metabolism (also BCAA Metabolism),35482,LC/MS Pos Early,100001596,2440.0,262.1285,53481628,149181-64-6,,HMDB13133,
isocaproylglutamine,1739,Lipid,Fatty Acid Metabolism (Acyl Glutamine),61811,LC/MS Neg,100019815,2720.0,243.135,,,,,
cyclo(pro-sulfo-tyr)*,745,Peptide,Dipeptide,62840,LC/MS Neg,100020992,2058.0,339.0656,,,,,
deoxymugineic acid,4740,Xenobiotics,Food Component/Plant,57394,LC/MS Pos Early,100001816,1036.0,305.1343,,74235-24-8,,,
"ceramide (d18:1/17:0, d17:1/18:0)*",2962,Lipid,Ceramides,57434,LC/MS Pos Late,100015737,3055.0,552.5351,,,,,
21-hydroxypregnenolone disulfate,3163,Lipid,Pregnenolone Steroids,46115,LC/MS Neg,100001999,3935.0,245.0671,134595,1164-98-3,,,
4-hydroxycinnamate sulfate,224,Amino Acid,Tyrosine Metabolism,48410,LC/MS Neg,100006095,1000.0,242.9969,6070438,376374-66-2,,,
myristate (14:0),1458,Lipid,Long Chain Saturated Fatty Acid,1365,LC/MS Neg,519,5440.0,227.2017,11005,544-63-8,C06424,HMDB00806,
5-methylthioribose,415,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",62100,LC/MS Pos Early,100002103,790.0,181.0529,494,23656-67-9,,HMDB01087,
"N2,N5-diacetylornithine",478,Amino Acid,Urea cycle; Arginine and Proline Metabolism,43591,LC/MS Pos Early,100004575,1310.0,217.1183,65977,39825-23-5,,,
1-carboxyethylisoleucine,364,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628.0,202.1085,,,,,
N-methyltaurine,440,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",42989,LC/MS Polar,100004056,1650.0,138.023,7882,107-68-6,,,
"1,7-dimethylurate",4486,Xenobiotics,Xanthine Metabolism,34400,LC/MS Neg,100001399,1578.6,195.0524,91611,33868-03-0,C16356,HMDB11103,
losartan,5475,Xenobiotics,Drug - Cardiovascular,64102,LC/MS Neg,100020909,4729.0,421.1549,,114798-26-4,,,
delta-tocopherol,4261,Cofactors and Vitamins,Tocopherol Metabolism,33418,LC/MS Pos Late,100001216,2259.0,402.3492,92094,119-13-1,C14151,HMDB02902,
epiandrosterone sulfate,3252,Lipid,Androgenic Steroids,33973,LC/MS Neg,100001287,4855.0,369.1741,9929317,22229-22-7,,,
5-aminovalerate,133,Amino Acid,Lysine Metabolism,18319,LC/MS Pos Early,100000454,2220.0,118.0863,138,660-88-8,C00431,HMDB03355,
"5alpha-androstan-3beta,17beta-diol disulfate",3296,Lipid,Androgenic Steroids,37190,LC/MS Neg,100001987,3880.0,225.0697,242332,571-20-0,C12525,HMDB00493,
N-acetylsphingosine,3075,Lipid,Sphingosines,17772,LC/MS Neg,1302,6000.0,340.2857,5497136,3102-57-6,C00195,HMDB04950,
N-acetylhistidine,71,Amino Acid,Histidine Metabolism,33946,LC/MS Pos Early,100001293,2065.0,198.0873,75619,39145-52-3,C02997,HMDB32055,
chenodeoxycholate,3365,Lipid,Primary Bile Acid Metabolism,1563,LC/MS Neg,1123,5264.0,391.2854,10133,474-24-9;474-25-9,C02528,HMDB00518,
p-hydroxybenzaldehyde,4401,Xenobiotics,Benzoate Metabolism,17665,LC/MS Neg,1276,2040.0,121.0295,126,123-08-0,C00633,HMDB11718,
dCMP,4164,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",533,LC/MS Pos Early,298,975.0,308.0642,13945,1032-65-1,C00239,HMDB01202,
serine,10,Amino Acid,"Glycine, Serine and Threonine Metabolism",1648,LC/MS Pos Early,503,1239.0,106.0499,5951,56-45-1,C00065,HMDB00187,
5-hydroxyhexanoate,1935,Lipid,"Fatty Acid, Monohydroxy",31938,LC/MS Neg,100001148,1267.0,131.0714,170748,44843-89-2,,HMDB00525,
ferulate,4765,Xenobiotics,Food Component/Plant,35630,LC/MS Neg,100001542,1755.0,193.0506,445858,537-98-4,C01494,HMDB00954,
tartronate (hydroxymalonate),5058,Xenobiotics,Food Component/Plant,20693,LC/MS Neg,100000840,610.0,118.9986,45,80-69-3,C02287,HMDB35227,
histidine betaine (hercynine)*,4795,Xenobiotics,Food Component/Plant,62278,LC/MS Pos Early,100004059,2094.0,198.1237,3083620,534-30-5,,,
gamma-aminobutyrate (GABA),56,Amino Acid,Glutamate Metabolism,1416,LC/MS Polar,141,3292.0,102.0561,119,56-12-2,C00334,HMDB00112,
1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,2728,Lipid,Plasmalogen,52682,LC/MS Pos Late,100009009,2300.0,742.5745,,,,HMDB11211,
3-dehydrochenodeoxycholate,3394,Lipid,Secondary Bile Acid Metabolism,64097,LC/MS Neg,100004194,5189.0,389.2697,,4185-00-6,,,
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),1853,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",53224,LC/MS Pos Early,100009407,2773.0,304.1755,,,,,
vancomycin,5271,Xenobiotics,Drug - Antibiotic,39798,LC/MS Neg,100002992,3004.0,722.7078,14969,123409-00-7,,,
carotene diol (1),4327,Cofactors and Vitamins,Vitamin A Metabolism,57635,LC/MS Pos Late,100015966,1720.0,568.4276,,,,,
gamma-glutamylvaline,614,Peptide,Gamma-glutamyl Amino Acid,43829,LC/MS Polar,100001126,3000.0,245.1143,7015683,2746-34-1,,HMDB11172,
eicosapentaenoate (EPA; 20:5n3),1511,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),18467,LC/MS Neg,2050,5450.0,301.2173,446284,10-2005-9;10417-94-4,C06428,HMDB01999,
1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2/18:3)*,2895,Lipid,Galactosyl Glycerolipids,54898,LC/MS Pos Late,100010878,2209.0,794.5777,,,,,
gamma-CEHC glucuronide*,4266,Cofactors and Vitamins,Tocopherol Metabolism,42381,LC/MS Neg,100004243,2500.0,439.161,,,,,
campesterol,3134,Lipid,Sterol,33997,LC/MS Pos Late,100001269,2873.0,383.3672,173183,474-62-4,C01789,HMDB02869,
"1,5-anhydroglucitol (1,5-AG)",1178,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802.0,163.0612,64960,154-58-5,C07326,HMDB02712,
1-methyl-5-imidazoleacetate,89,Amino Acid,Histidine Metabolism,62946,LC/MS Pos Early,100002910,1989.0,141.0659,6451814,4200-48-0,,HMDB04988,
tryptophan betaine,254,Amino Acid,Tryptophan Metabolism,37097,LC/MS Pos Early,100001743,2673.0,247.1441,442106,20671-76-5,C09213,HMDB61115,
harmane,4965,Xenobiotics,Food Component/Plant,27536,LC/MS Pos Early,100000799,3234.0,183.0917,5281404,486-84-0,C09209,HMDB35196,
2-methoxyresorcinol sulfate,5945,Xenobiotics,Chemical,48445,LC/MS Neg,100006184,1863.0,218.9969,,1446269-78-8,,,
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),2206,Lipid,Phosphatidylcholine (PC),52616,LC/MS Pos Late,100008921,2750.0,762.6007,24778686,59403-51-9,,HMDB07970,
"bilirubin degradation product, C16H18N2O5 (4)",6118,Partially Characterized Molecules,Partially Characterized Molecules,64415,LC/MS Neg,100022015,3428.0,317.1143,,,,,
cortolone glucuronide (1),3236,Lipid,Corticosteroids,57699,LC/MS Neg,100015971,4600.0,541.2654,53480447,,,,
isoursodeoxycholate sulfate (1),3417,Lipid,Secondary Bile Acid Metabolism,63602,LC/MS Neg,100021647,4082.0,235.1175,,,,,
N-acetyltyrosine,160,Amino Acid,Tyrosine Metabolism,32390,LC/MS Neg,100001104,1680.0,222.0772,68310,537-55-3,,HMDB00866,
isocitric lactone,1398,Energy,TCA Cycle,54724,LC/MS Polar,100009239,2970.0,173.0092,98259,4702-32-3,,,
palmitoylcholine,1883,Lipid,Fatty Acid Metabolism (Acyl Choline),52944,LC/MS Pos Late,100009233,1482.0,342.3367,151731,,,,
5-methylhexanoate (i7:0),1579,Lipid,"Fatty Acid, Branched",62745,LC/MS Neg,100020838,3542.0,129.0921,12344,,,HMDB31595,
arachidate (20:0),1468,Lipid,Long Chain Saturated Fatty Acid,1118,LC/MS Neg,893,6240.0,311.2956,10467,506-30-9,C06425,HMDB02212,
phenylalanylglycine,888,Peptide,Dipeptide,41370,LC/MS Pos Early,100003588,2898.0,223.1077,98207,721-90-4,,HMDB28995,
"sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*",3037,Lipid,Sphingomyelins,52495,LC/MS Pos Late,100009025,3000.0,773.6531,,,,,
1-dihomo-linoleoylglycerol (20:2),2798,Lipid,Monoacylglycerol,35103,LC/MS Neg,100001483,6800.0,307.2642,,,,,
3-hydroxymyristate,1926,Lipid,"Fatty Acid, Monohydroxy",21158,LC/MS Neg,100000882,5335.0,243.1966,16064,3422-31-9,,,
isobutyrylglycine (C4),395,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",35437,LC/MS Neg,100001590,1420.0,144.0666,10855600,15926-18-8,,HMDB00730,
3-hydroxybutyrate (BHBA),1878,Lipid,Ketone Bodies,542,LC/MS Polar,254,1480.0,103.0401,441,625-72-9,C01089,HMDB00357,
butyrate/isobutyrate (4:0),1438,Lipid,Short Chain Fatty Acid,40605,LC/MS Neg,1143,1062.0,87.0452,264,109-92-6,C00246,HMDB00039,
cholic acid glucuronide,3380,Lipid,Primary Bile Acid Metabolism,62571,LC/MS Neg,100020549,4512.0,583.3124,,,,,
ferulic acid 4-sulfate,4766,Xenobiotics,Food Component/Plant,47114,LC/MS Neg,100005389,1200.0,273.0074,6305574,86321-29-1,,HMDB29200,
linolenate (18:3n3 or 3n6),1520,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),34035,LC/MS Neg,100001337,5450.0,277.2173,5280934,,C06426,HMDB03073,
3-hydroxyoleoylcarnitine,1869,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",61840,LC/MS Pos Late,100019801,1406.0,442.3527,,,,,
N-desmethyl tramadol,5243,Xenobiotics,"Drug - Analgesics, Anesthetics",52355,LC/MS Pos Early,100006384,3360.0,250.1802,10354700,147762-57-0,,HMDB61007,
biopterin,4286,Cofactors and Vitamins,Tetrahydrobiopterin Metabolism,12358,LC/MS Neg,1548,1398.0,236.0789,445040,22150-76-1,C06313,HMDB00468,
beta-hydroxyisovaleroylcarnitine,339,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",35433,LC/MS Pos Early,100001594,2584.0,262.1649,,99159-87-2,,,
octadecenedioate (C18:1-DC),1650,Lipid,"Fatty Acid, Dicarboxylate",61861,LC/MS Neg,100019978,4875.0,311.2228,,,,,
2-methoxyhydroquinone sulfate (1),4473,Xenobiotics,Benzoate Metabolism,64049,LC/MS Neg,100021839,1505.0,218.9969,,,,,
oleoylcarnitine (C18:1),1828,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",35160,LC/MS Pos Late,100001501,1423.0,426.3578,6441392,38677-66-6,,HMDB05065,
pipecolate,128,Amino Acid,Lysine Metabolism,1444,LC/MS Pos Early,1025,2200.0,130.0863,849,4043-87-2,C00408,HMDB00070,
"sphingomyelin (d18:1/14:0, d16:1/16:0)*",3026,Lipid,Sphingomyelins,42463,LC/MS Pos Late,100004328,1998.0,675.5436,11433862,,,HMDB12097,
gamma-CEHC,4265,Cofactors and Vitamins,Tocopherol Metabolism,44876,LC/MS Neg,100002094,3843.0,263.1289,133098,178167-75-4,,HMDB01931,
Flavone derivative C26H28O14 (2)*,6104,Partially Characterized Molecules,Partially Characterized Molecules,64286,LC/MS Neg,100021925,2234.0,563.1406,,,,,
docosapentaenoate (DPA; 22:5n3),1513,Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6),32504,LC/MS Neg,100001181,5571.0,329.2486,6441454,2234-74-4,C16513,HMDB06528,
NP-013098,5090,Xenobiotics,Food Component/Plant,64229,LC/MS Neg,100021863,2765.0,563.1406,,,,,
