BIOCHEMICAL,PATHWAY_SORTORDER,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB
(12 or 13)-methylmyristate (a15:0 or i15:0),1588,Lipid,"Fatty Acid, Branched",38293,LC/MS Neg,100002344,5499,241.2173,151014,2485-71-4,,
(14 or 15)-methylpalmitate (a17:0 or i17:0),1593,Lipid,"Fatty Acid, Branched",38768,LC/MS Neg,100002945,5695,269.2487,,,,
(15:0)-anacardic acid,4588,Xenobiotics,Food Component/Plant,40719,LC/MS Neg,100003600,5895,347.2592,167551,16611-84-0,C10759,
(15:2)-anacardic acid,4590,Xenobiotics,Food Component/Plant,41397,LC/MS Neg,100003472,5565,343.2279,11824131,11034-77-8,,HMDB33896
(15:3)-anacardic acid,4591,Xenobiotics,Food Component/Plant,64092,LC/MS Polar,100021253,681,341.2122,5388781,103904-73-0,,HMDB31059
(16 or 17)-methylstearate (a19:0 or i19:0),1599,Lipid,"Fatty Acid, Branched",38296,LC/MS Neg,100002356,5993,297.2799,3083779,2724-59-6,,HMDB37397
(3'-5')-adenylyladenosine*,4188,Nucleotide,Dinucleotide,62396,LC/MS Neg,100020723,2173,595.142,94231,,,
(3'-5')-adenylylcytidine,4185,Nucleotide,Dinucleotide,52753,LC/MS Neg,100009062,1920,571.1308,10875494,4833-63-0,,
(3'-5')-adenylylguanosine*,4186,Nucleotide,Dinucleotide,62760,LC/MS Neg,100020724,1980,611.1369,444337,,,
(3'-5')-adenylyluridine,4187,Nucleotide,Dinucleotide,52740,LC/MS Neg,100009060,2002,572.1148,112074,3051-84-1,,
(3'-5')-cytidylylguanosine,4191,Nucleotide,Dinucleotide,52745,LC/MS Neg,100009063,1537,587.1257,65101,2382-65-2,,
(3'-5')-cytidylyluridine*,4192,Nucleotide,Dinucleotide,62399,LC/MS Neg,100020728,1522,548.1036,,,,
(3'-5')-guanylyladenosine*,4193,Nucleotide,Dinucleotide,62761,LC/MS Neg,100020725,1950,611.1369,,,,
(3'-5')-guanylylcytidine,4194,Nucleotide,Dinucleotide,52746,LC/MS Neg,100009064,1670,587.1257,107595,4785-04-0,,
(3'-5')-guanylyluridine,4195,Nucleotide,Dinucleotide,52743,LC/MS Neg,100009056,1772,588.1097,,1053910,,
(3'-5')-uridylylguanosine,4197,Nucleotide,Dinucleotide,52742,LC/MS Neg,100009057,1637,588.1097,107394,574985,,
(3'-5')-uridylyluridine,4198,Nucleotide,Dinucleotide,52741,LC/MS Neg,100009058,1688,549.0876,102258,2415-43-2,,
(N(1) + N(8))-acetylspermidine,518,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.1757,,,,
(R)-salsolinol,209,Amino Acid,Tyrosine Metabolism,38665,LC/MS Pos Early,100002814,2525,180.1019,54456,70681-20-8,C09642,HMDB05199
(S)-3-hydroxybutyrylcarnitine,1859,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",52984,LC/MS Pos Early,100009271,2340,248.1493,,,,
(S)-a-amino-omega-caprolactam,5062,Xenobiotics,Food Component/Plant,63339,LC/MS Pos Early,100021329,2378,129.1022,439823,21568-87-6,C05328,
1'-hydroxymidazolam,5680,Xenobiotics,Drug - Psychoactive,27507,LC/MS Pos Early,100001010,3595,342.0804,107917,59468-90-5,,
"1,1-kestotetraose",4583,Xenobiotics,Food Component/Plant,39796,LC/MS Neg,100003047,1381,665.2146,166775,13133-07-8,,HMDB39176
"1,2,3-benzenetriol sulfate (1)",5948,Xenobiotics,Chemical,48761,LC/MS Neg,100006373,1453,204.9812,,,,
"1,2,3-benzenetriol sulfate (2)",5943,Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709,204.9812,,,,
"1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)",2898,Lipid,Galactosyl Glycerolipids,54892,LC/MS Pos Late,100009392,1941,954.6149,,,,
"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",2897,Lipid,Galactosyl Glycerolipids,54891,LC/MS Pos Late,100010877,2046,792.562,5282287,,C13871,
"1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*",2893,Lipid,Galactosyl Glycerolipids,54897,LC/MS Pos Late,100010873,2256,958.6462,,,,
"1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*",2894,Lipid,Galactosyl Glycerolipids,54899,LC/MS Pos Late,100010879,2415,796.5933,6535011,,,
"1,2-dilinoleoyl-GPC (18:2/18:2)",2282,Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2100,782.5694,5288075,998-06-1,,HMDB08138
"1,2-dipalmitoyl-GPC (16:0/16:0)",2204,Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2450,734.5694,452110,63-89-8,,HMDB00564
"1,3,7-trimethylurate",4488,Xenobiotics,Xanthine Metabolism,34404,LC/MS Neg,100001397,1985,209.068,79437,5415-44-1,C16361,HMDB02123
"1,3-dimethylurate",4485,Xenobiotics,Xanthine Metabolism,32391,LC/MS Neg,100001106,1671.4,195.0524,70346,944-73-0,,HMDB01857
"1,3-propanediol",5809,Xenobiotics,Chemical,45434,LC/MS Pos Early,100001175,832,77.0597,10442,504-63-2,C02457,
"1,4-butanediol",5845,Xenobiotics,Chemical,35690,LC/MS Pos Early,100001529,1161,91.0754,8064,110-63-4,,
