,ASV 0,ASV 1,ASV 2,ASV 3,ASV 4,ASV 5,ASV 6,ASV 7,ASV 8,ASV 9,ASV 10,ASV 11,ASV 12,ASV 13,ASV 14,ASV 15,ASV 16,ASV 17,ASV 18,ASV 19,ASV 20,ASV 21,ASV 22,ASV 23,ASV 24,ASV 25,ASV 26,ASV 27,ASV 28,ASV 29,ASV 30,ASV 31,ASV 32,ASV 33,ASV 34,ASV 35,ASV 36,ASV 37,ASV 38,ASV 39,ASV 40,ASV 41,ASV 42,ASV 43,ASV 44,ASV 45,ASV 46,ASV 47,ASV 48,ASV 49,ASV 50,ASV 51,ASV 52,ASV 53,ASV 54,ASV 55,ASV 56,ASV 57,ASV 58,ASV 59,ASV 60,ASV 61,ASV 62,ASV 63,ASV 64,ASV 65,ASV 66,ASV 67,ASV 68,ASV 69,ASV 70,ASV 71,ASV 72,ASV 73,ASV 74,ASV 75,ASV 76,ASV 77,ASV 78,ASV 79,ASV 80,ASV 81,ASV 82,ASV 83,ASV 84,ASV 85,ASV 86,ASV 87,ASV 88,ASV 89,ASV 90,ASV 91,ASV 92,ASV 93,ASV 94,ASV 95,ASV 96,ASV 97,ASV 98,ASV 99,ASV 100,ASV 101,ASV 102,ASV 103,ASV 104,ASV 105,ASV 106,ASV 107,ASV 108,ASV 109,ASV 110,ASV 111,ASV 112,ASV 113,ASV 114,ASV 115,ASV 116,ASV 117,ASV 118,ASV 119,ASV 120,ASV 121,ASV 122,ASV 123,ASV 124,ASV 125,ASV 126,ASV 127,ASV 128,ASV 129,ASV 130,ASV 131,ASV 132,ASV 133,ASV 134,ASV 135,ASV 136,ASV 137,ASV 138,ASV 139,ASV 140,ASV 141,ASV 142,ASV 143,ASV 144,ASV 145,ASV 146,ASV 147,ASV 148,ASV 149,ASV 150
ASV 0,0.0,0.22845,0.37435,0.3783,0.39151,0.49209,0.4756,0.4883,0.47953000000000007,0.47476,0.49315000000000003,0.40188,0.69366,0.72674,0.71291,0.71545,0.7432500000000001,0.7271200000000001,1.08686,1.0408499999999998,1.0266199999999999,1.02358,1.06951,1.0327499999999998,1.07646,1.07158,1.05331,1.04531,1.03017,1.1147399999999998,1.08903,1.02785,1.05005,1.0351599999999999,1.0839299999999998,1.03033,1.04823,1.08201,1.02213,1.02108,0.9485800000000002,1.0191700000000001,1.0312299999999999,1.00659,1.0144600000000001,1.0251199999999998,1.02749,1.1153899999999999,1.10601,1.11726,1.0824399999999998,0.9793800000000001,0.90029,0.9789300000000001,0.9416000000000002,0.9824800000000002,0.73934,0.73665,0.74855,0.74282,0.7132000000000001,0.8410699999999999,0.9139099999999999,0.79771,0.79815,0.81532,0.7958,0.82312,0.8133900000000001,0.80669,0.8325299999999999,0.80816,0.8123,0.7762,0.78421,0.817,0.86495,0.85939,0.83842,0.84347,0.8143299999999999,0.7147399999999999,0.82377,0.7658900000000001,0.86586,0.8638199999999999,0.81432,0.80662,0.76407,0.8062,0.86969,0.81306,0.8460599999999999,0.84963,0.86604,0.8405600000000001,0.84089,0.80169,0.7945300000000001,0.7987700000000001,0.85082,0.78825,0.8117800000000001,0.8029400000000001,0.8195800000000001,0.9046900000000001,0.82062,0.80725,0.82953,0.82341,0.74753,0.7903,0.80599,0.7945,0.8476099999999999,0.81384,0.77632,0.83594,0.76955,0.85638,0.66561,0.701,0.7218899999999999,0.65378,0.73424,0.66035,0.65257,0.65359,0.70265,0.69398,0.68188,0.72732,0.71536,0.77178,0.80216,0.7993199999999999,0.74578,0.73702,0.7407800000000001,0.79149,0.7932300000000001,0.7716000000000001,0.83728,0.8599600000000001,0.8807099999999999,0.88351,0.8771100000000001,0.86103,0.83985,0.8665499999999999,0.76522
ASV 1,0.22845,0.0,0.40638,0.41033000000000003,0.42353999999999997,0.5241199999999999,0.50763,0.52033,0.51156,0.5067900000000001,0.52518,0.43390999999999996,0.7256900000000001,0.7587700000000001,0.74494,0.74748,0.7752800000000001,0.7591500000000001,1.11889,1.0728799999999998,1.0586499999999999,1.05561,1.10154,1.0647799999999998,1.10849,1.10361,1.08534,1.07734,1.0622,1.1467699999999998,1.12106,1.05988,1.08208,1.0671899999999999,1.1159599999999998,1.06236,1.08026,1.11404,1.05416,1.05311,0.9806100000000002,1.0512,1.0632599999999999,1.0386199999999999,1.04649,1.0571499999999998,1.05952,1.1474199999999999,1.13804,1.14929,1.1144699999999998,1.0114100000000001,0.93232,1.01096,0.9736300000000002,1.0145100000000002,0.77137,0.7686799999999999,0.7805799999999999,0.7748499999999999,0.74523,0.8730999999999999,0.9459399999999999,0.82974,0.83018,0.8473499999999999,0.82783,0.85515,0.84542,0.83872,0.8645599999999999,0.8401899999999999,0.8443299999999999,0.8082299999999999,0.81624,0.8490299999999998,0.89698,0.89142,0.8704500000000001,0.8755000000000001,0.8463599999999999,0.74677,0.8558,0.7979200000000001,0.89789,0.8958499999999999,0.84635,0.83865,0.7960999999999999,0.8382299999999999,0.90172,0.84509,0.8780899999999999,0.88166,0.89807,0.8725900000000001,0.87292,0.8337199999999999,0.8265600000000001,0.8308000000000001,0.88285,0.82028,0.8438100000000001,0.8349700000000001,0.8516100000000001,0.9367200000000001,0.85265,0.8392799999999999,0.86156,0.8554399999999999,0.7795599999999999,0.8223299999999999,0.8380199999999999,0.8265299999999999,0.8796399999999999,0.84587,0.80835,0.86797,0.8015799999999998,0.88841,0.6976399999999999,0.73303,0.75392,0.6858099999999999,0.7662699999999999,0.69238,0.6846,0.68562,0.7346800000000001,0.7260099999999999,0.7139099999999999,0.7593499999999999,0.7473899999999999,0.80381,0.8341899999999999,0.8313499999999999,0.77781,0.76905,0.77281,0.82352,0.8252600000000001,0.8036300000000001,0.86931,0.8919900000000001,0.9127399999999999,0.91554,0.9091400000000001,0.89306,0.87188,0.8985799999999999,0.79725
ASV 2,0.37435,0.40638,0.0,0.06387,0.38172,0.4823,0.46581,0.47851,0.46974000000000005,0.46497,0.48336,0.39209,0.65865,0.69173,0.6779000000000001,0.68044,0.70824,0.69211,1.05185,1.00584,0.99161,0.9885700000000001,1.0345,0.9977400000000001,1.04145,1.03657,1.0183,1.0103,0.9951600000000002,1.0797299999999999,1.05402,0.9928400000000001,1.01504,1.00015,1.0489199999999999,0.9953200000000001,1.01322,1.047,0.9871200000000001,0.9860700000000001,0.9135700000000001,0.98416,0.99622,0.9715800000000001,0.9794500000000002,0.99011,0.9924800000000001,1.08038,1.071,1.08225,1.0474299999999999,0.94437,0.8652800000000002,0.9439200000000001,0.9065900000000001,0.9474700000000001,0.7043299999999999,0.7016399999999999,0.71354,0.7078099999999999,0.67819,0.8060599999999999,0.8789,0.7627,0.76314,0.78031,0.76079,0.78811,0.77838,0.77168,0.7975199999999999,0.7731499999999999,0.7772899999999999,0.7411899999999999,0.7492,0.7819899999999999,0.82994,0.82438,0.80341,0.80846,0.7793199999999999,0.67973,0.78876,0.73088,0.83085,0.8288099999999999,0.77931,0.77161,0.7290599999999999,0.7711899999999999,0.83468,0.77805,0.8110499999999999,0.81462,0.83103,0.80555,0.80588,0.7666799999999999,0.75952,0.76376,0.81581,0.75324,0.77677,0.76793,0.78457,0.86968,0.78561,0.7722399999999999,0.79452,0.7883999999999999,0.7125199999999999,0.7552899999999999,0.7709799999999999,0.7594899999999999,0.8125999999999999,0.77883,0.74131,0.80093,0.7345399999999999,0.82137,0.6305999999999999,0.66599,0.6868799999999999,0.6187699999999999,0.6992299999999999,0.62534,0.61756,0.61858,0.66764,0.65897,0.64687,0.6923099999999999,0.6803499999999999,0.7367699999999999,0.7671499999999999,0.7643099999999999,0.7107699999999999,0.7020099999999999,0.70577,0.75648,0.7582200000000001,0.7365900000000001,0.80227,0.8249500000000001,0.8456999999999999,0.8485,0.8421000000000001,0.82602,0.80484,0.83154,0.73021
ASV 3,0.3783,0.41033000000000003,0.06387,0.0,0.38567,0.48625,0.46976,0.48246,0.47369000000000006,0.46892,0.48731,0.39604,0.6626,0.69568,0.6818500000000001,0.68439,0.71219,0.69606,1.0557999999999998,1.00979,0.99556,0.9925200000000001,1.0384499999999999,1.00169,1.0453999999999999,1.04052,1.0222499999999999,1.01425,0.9991100000000002,1.08368,1.0579699999999999,0.9967900000000001,1.01899,1.0041,1.05287,0.9992700000000001,1.0171700000000001,1.0509499999999998,0.9910700000000001,0.9900200000000001,0.9175200000000001,0.98811,1.00017,0.9755300000000001,0.9834000000000002,0.99406,0.9964300000000001,1.0843299999999998,1.0749499999999999,1.0861999999999998,1.05138,0.94832,0.8692300000000002,0.9478700000000001,0.9105400000000001,0.9514200000000002,0.7082799999999999,0.7055899999999999,0.71749,0.71176,0.68214,0.81001,0.88285,0.7666499999999999,0.7670899999999999,0.7842600000000001,0.7647399999999999,0.7920599999999999,0.7823300000000001,0.7756299999999999,0.80147,0.7771,0.78124,0.74514,0.7531499999999999,0.78594,0.8338899999999999,0.8283299999999999,0.80736,0.81241,0.7832699999999999,0.68368,0.7927099999999999,0.73483,0.8347999999999999,0.83276,0.78326,0.7755599999999999,0.73301,0.77514,0.83863,0.7819999999999999,0.8150000000000001,0.8185699999999999,0.8349799999999999,0.8095,0.8098299999999999,0.77063,0.76347,0.76771,0.8197599999999999,0.75719,0.78072,0.77188,0.78852,0.87363,0.7895599999999999,0.77619,0.79847,0.79235,0.7164699999999999,0.75924,0.77493,0.76344,0.81655,0.7827799999999999,0.7452599999999999,0.8048799999999999,0.73849,0.8253199999999999,0.63455,0.66994,0.6908299999999999,0.6227199999999999,0.7031799999999999,0.62929,0.62151,0.62253,0.67159,0.66292,0.65082,0.6962599999999999,0.6842999999999999,0.7407199999999999,0.7711,0.7682599999999998,0.7147199999999999,0.7059599999999999,0.70972,0.7604299999999999,0.76217,0.74054,0.8062199999999999,0.8289,0.84965,0.8524500000000002,0.84605,0.8299700000000001,0.8087900000000001,0.8354900000000001,0.73416
ASV 4,0.39151,0.42353999999999997,0.38172,0.38567,0.0,0.24928,0.23279,0.24549,0.23672,0.23195000000000002,0.25034,0.13093,0.70103,0.73411,0.7202800000000001,0.7228200000000001,0.7506200000000001,0.7344900000000001,1.09423,1.04822,1.03399,1.03095,1.07688,1.04012,1.08383,1.07895,1.06068,1.05268,1.0375400000000001,1.12211,1.0964,1.03522,1.05742,1.04253,1.0913,1.0377,1.0556,1.08938,1.0295,1.02845,0.9559500000000002,1.02654,1.0386,1.0139600000000002,1.02183,1.03249,1.0348600000000001,1.12276,1.11338,1.12463,1.08981,0.9867500000000001,0.9076600000000002,0.9863000000000002,0.9489700000000002,0.9898500000000002,0.74671,0.74402,0.75592,0.75019,0.72057,0.84844,0.9212800000000001,0.80508,0.80552,0.82269,0.8031699999999999,0.83049,0.82076,0.81406,0.8399,0.81553,0.81967,0.78357,0.79158,0.8243699999999999,0.87232,0.86676,0.84579,0.85084,0.8217,0.72211,0.83114,0.7732600000000001,0.87323,0.87119,0.82169,0.81399,0.77144,0.81357,0.8770600000000001,0.82043,0.85343,0.857,0.87341,0.8479300000000001,0.84826,0.80906,0.8019000000000001,0.8061400000000001,0.85819,0.7956200000000001,0.81915,0.8103100000000001,0.8269500000000001,0.9120600000000001,0.82799,0.81462,0.8369000000000001,0.83078,0.7549,0.79767,0.81336,0.80187,0.85498,0.82121,0.78369,0.84331,0.7769199999999999,0.86375,0.67298,0.70837,0.72926,0.66115,0.74161,0.6677200000000001,0.6599400000000001,0.6609600000000001,0.7100200000000001,0.70135,0.68925,0.73469,0.72273,0.77915,0.80953,0.8066899999999999,0.75315,0.74439,0.7481500000000001,0.79886,0.8006000000000001,0.77897,0.84465,0.86733,0.8880800000000001,0.8908800000000002,0.88448,0.8684000000000001,0.8472200000000001,0.87392,0.7725900000000001
ASV 5,0.49209,0.5241199999999999,0.4823,0.48625,0.24928,0.0,0.15247,0.16516999999999998,0.0886,0.15163,0.041260000000000005,0.25965000000000005,0.80161,0.83469,0.8208600000000001,0.8234000000000001,0.8512000000000001,0.8350700000000001,1.19481,1.1488,1.1345699999999999,1.13153,1.17746,1.1407,1.18441,1.17953,1.16126,1.15326,1.13812,1.22269,1.19698,1.1358,1.158,1.14311,1.19188,1.13828,1.15618,1.18996,1.13008,1.12903,1.05653,1.12712,1.1391799999999999,1.11454,1.1224100000000001,1.13307,1.13544,1.2233399999999999,1.21396,1.22521,1.19039,1.08733,1.0082400000000002,1.08688,1.04955,1.09043,0.84729,0.8446,0.8565,0.85077,0.82115,0.94902,1.02186,0.90566,0.9061,0.92327,0.9037499999999999,0.93107,0.92134,0.91464,0.94048,0.91611,0.92025,0.88415,0.89216,0.9249499999999999,0.9729000000000001,0.9673400000000001,0.94637,0.95142,0.92228,0.82269,0.93172,0.8738400000000001,0.9738100000000001,0.97177,0.92227,0.91457,0.87202,0.91415,0.9776400000000001,0.92101,0.9540100000000001,0.9575800000000001,0.9739900000000001,0.9485100000000001,0.94884,0.90964,0.9024800000000001,0.9067200000000001,0.9587700000000001,0.8962000000000001,0.91973,0.9108900000000001,0.9275300000000001,1.0126400000000002,0.92857,0.9152,0.9374800000000001,0.93136,0.85548,0.89825,0.91394,0.90245,0.9555600000000001,0.92179,0.88427,0.94389,0.8775,0.9643300000000001,0.77356,0.8089500000000001,0.82984,0.76173,0.84219,0.7683000000000001,0.7605200000000001,0.7615400000000001,0.8106000000000001,0.80193,0.78983,0.83527,0.82331,0.87973,0.91011,0.9072699999999999,0.85373,0.84497,0.8487300000000001,0.89944,0.9011800000000001,0.87955,0.94523,0.9679100000000002,0.9886600000000001,0.9914600000000002,0.9850600000000002,0.9689800000000002,0.9478000000000001,0.9745000000000001,0.8731700000000001
ASV 6,0.4756,0.50763,0.46581,0.46976,0.23279,0.15247,0.0,0.12778,0.13990999999999998,0.11424000000000001,0.15353,0.24316,0.78512,0.8182,0.8043700000000001,0.8069100000000001,0.8347100000000001,0.8185800000000001,1.17832,1.13231,1.11808,1.11504,1.16097,1.12421,1.16792,1.16304,1.14477,1.13677,1.1216300000000001,1.2062,1.18049,1.11931,1.14151,1.12662,1.17539,1.12179,1.13969,1.17347,1.11359,1.11254,1.04004,1.11063,1.12269,1.09805,1.10592,1.11658,1.1189500000000001,1.20685,1.19747,1.20872,1.1739,1.07084,0.9917500000000001,1.07039,1.03306,1.0739400000000001,0.8308,0.82811,0.84001,0.83428,0.80466,0.93253,1.00537,0.88917,0.88961,0.90678,0.8872599999999999,0.91458,0.90485,0.89815,0.92399,0.89962,0.90376,0.86766,0.87567,0.9084599999999999,0.95641,0.95085,0.92988,0.93493,0.90579,0.8062,0.91523,0.8573500000000001,0.95732,0.95528,0.90578,0.89808,0.85553,0.89766,0.9611500000000001,0.90452,0.93752,0.94109,0.9575,0.9320200000000001,0.93235,0.89315,0.88599,0.8902300000000001,0.94228,0.8797100000000001,0.90324,0.8944000000000001,0.9110400000000001,0.9961500000000001,0.91208,0.89871,0.9209900000000001,0.91487,0.83899,0.88176,0.89745,0.88596,0.93907,0.9053,0.86778,0.9274,0.8610099999999999,0.94784,0.75707,0.79246,0.81335,0.74524,0.8257,0.7518100000000001,0.7440300000000001,0.7450500000000001,0.7941100000000001,0.78544,0.77334,0.81878,0.80682,0.86324,0.89362,0.8907799999999999,0.83724,0.82848,0.8322400000000001,0.88295,0.8846900000000001,0.86306,0.92874,0.95142,0.97217,0.9749700000000001,0.96857,0.9524900000000001,0.9313100000000001,0.95801,0.8566800000000001
ASV 7,0.4883,0.52033,0.47851,0.48246,0.24549,0.16516999999999998,0.12778,0.0,0.15261,0.049920000000000006,0.16623000000000002,0.25586,0.7978200000000001,0.8309000000000001,0.8170700000000001,0.8196100000000001,0.84741,0.83128,1.19102,1.14501,1.13078,1.12774,1.17367,1.13691,1.18062,1.17574,1.15747,1.14947,1.13433,1.2189,1.19319,1.13201,1.15421,1.13932,1.18809,1.13449,1.15239,1.18617,1.12629,1.12524,1.05274,1.12333,1.13539,1.1107500000000001,1.1186200000000002,1.12928,1.13165,1.21955,1.21017,1.22142,1.1866,1.08354,1.00445,1.08309,1.04576,1.08664,0.8435,0.8408100000000001,0.8527100000000001,0.8469800000000001,0.8173600000000001,0.94523,1.01807,0.9018700000000001,0.9023100000000001,0.9194800000000001,0.89996,0.92728,0.9175500000000001,0.91085,0.93669,0.91232,0.91646,0.88036,0.88837,0.92116,0.96911,0.96355,0.94258,0.94763,0.9184899999999999,0.8189,0.92793,0.87005,0.97002,0.96798,0.91848,0.91078,0.8682300000000001,0.9103600000000001,0.97385,0.91722,0.9502200000000001,0.95379,0.9702000000000001,0.94472,0.9450500000000001,0.90585,0.89869,0.90293,0.95498,0.89241,0.91594,0.9071,0.92374,1.0088500000000002,0.92478,0.91141,0.93369,0.92757,0.8516900000000001,0.89446,0.91015,0.89866,0.95177,0.918,0.88048,0.9401,0.87371,0.9605400000000001,0.7697700000000001,0.80516,0.82605,0.7579400000000001,0.8384,0.76451,0.75673,0.75775,0.80681,0.7981400000000001,0.7860400000000001,0.83148,0.81952,0.8759399999999999,0.90632,0.90348,0.8499399999999999,0.84118,0.8449400000000001,0.8956500000000001,0.8973900000000001,0.8757600000000001,0.94144,0.9641200000000001,0.98487,0.9876700000000002,0.9812700000000001,0.9651900000000001,0.9440100000000001,0.9707100000000001,0.86938
ASV 8,0.47953000000000007,0.51156,0.46974000000000005,0.47369000000000006,0.23672,0.0886,0.13990999999999998,0.15261,0.0,0.13907,0.08966,0.24709,0.78905,0.82213,0.8083000000000001,0.8108400000000001,0.83864,0.8225100000000001,1.18225,1.13624,1.12201,1.11897,1.1649,1.12814,1.17185,1.16697,1.1487,1.1407,1.1255600000000001,1.21013,1.18442,1.12324,1.14544,1.13055,1.17932,1.12572,1.14362,1.1774,1.11752,1.11647,1.04397,1.11456,1.12662,1.10198,1.10985,1.12051,1.12288,1.21078,1.2014,1.21265,1.17783,1.07477,0.9956800000000002,1.07432,1.03699,1.07787,0.83473,0.83204,0.84394,0.83821,0.80859,0.93646,1.0093,0.8931,0.89354,0.91071,0.8911899999999999,0.9185099999999999,0.90878,0.90208,0.92792,0.90355,0.90769,0.87159,0.8795999999999999,0.9123899999999999,0.9603400000000001,0.9547800000000001,0.93381,0.93886,0.90972,0.81013,0.91916,0.86128,0.96125,0.95921,0.90971,0.90201,0.85946,0.90159,0.96508,0.90845,0.94145,0.94502,0.9614300000000001,0.9359500000000001,0.93628,0.89708,0.88992,0.8941600000000001,0.94621,0.8836400000000001,0.90717,0.8983300000000001,0.9149700000000001,1.0000800000000003,0.91601,0.90264,0.9249200000000001,0.9188,0.84292,0.88569,0.90138,0.88989,0.943,0.90923,0.87171,0.93133,0.8649399999999999,0.9517700000000001,0.761,0.79639,0.81728,0.74917,0.82963,0.7557400000000001,0.7479600000000001,0.7489800000000001,0.7980400000000001,0.78937,0.77727,0.8227099999999999,0.81075,0.86717,0.89755,0.8947099999999999,0.84117,0.83241,0.8361700000000001,0.88688,0.8886200000000001,0.86699,0.93267,0.9553500000000001,0.9761000000000001,0.9789000000000002,0.9725000000000001,0.9564200000000002,0.9352400000000001,0.9619400000000001,0.8606100000000001
ASV 9,0.47476,0.5067900000000001,0.46497,0.46892,0.23195000000000002,0.15163,0.11424000000000001,0.049920000000000006,0.13907,0.0,0.15269,0.24231999999999998,0.7842800000000001,0.8173600000000001,0.8035300000000001,0.8060700000000001,0.83387,0.81774,1.17748,1.13147,1.11724,1.1142,1.16013,1.12337,1.1670800000000001,1.1622000000000001,1.1439300000000001,1.13593,1.1207900000000002,1.20536,1.17965,1.11847,1.14067,1.12578,1.17455,1.1209500000000001,1.1388500000000001,1.17263,1.1127500000000001,1.1117000000000001,1.0392000000000001,1.10979,1.12185,1.09721,1.10508,1.11574,1.1181100000000002,1.20601,1.19663,1.20788,1.17306,1.07,0.9909100000000002,1.06955,1.0322200000000001,1.0731000000000002,0.82996,0.8272700000000001,0.8391700000000001,0.8334400000000001,0.8038200000000001,0.93169,1.0045300000000001,0.8883300000000001,0.8887700000000001,0.9059400000000001,0.88642,0.91374,0.9040100000000001,0.89731,0.92315,0.89878,0.9029200000000001,0.86682,0.87483,0.90762,0.95557,0.95001,0.92904,0.93409,0.9049499999999999,0.80536,0.91439,0.85651,0.95648,0.95444,0.90494,0.89724,0.8546900000000001,0.8968200000000001,0.96031,0.90368,0.9366800000000001,0.94025,0.9566600000000001,0.93118,0.9315100000000001,0.89231,0.88515,0.88939,0.94144,0.87887,0.9024,0.89356,0.9102,0.99531,0.91124,0.8978700000000001,0.92015,0.91403,0.8381500000000001,0.88092,0.89661,0.88512,0.93823,0.90446,0.86694,0.92656,0.86017,0.9470000000000001,0.7562300000000001,0.79162,0.81251,0.7444000000000001,0.82486,0.75097,0.7431900000000001,0.7442100000000001,0.79327,0.7846000000000001,0.7725000000000001,0.81794,0.80598,0.8623999999999999,0.89278,0.88994,0.8363999999999999,0.82764,0.8314000000000001,0.8821100000000001,0.8838500000000001,0.8622200000000001,0.9279000000000001,0.9505800000000001,0.97133,0.9741300000000002,0.9677300000000001,0.9516500000000001,0.9304700000000001,0.9571700000000001,0.85584
