Compound,m.z,method,high.confidence.annotation,compound.name,hmdb,kegg,inchikey,fingerprints
C8p_QI199__C55:2 TAG,923.8038,C8-pos,False,"TG(14:0/22:0/18:2(9Z,12Z))",HMDB0042226,,,
C8p_QI50__C16:0 Ceramide (d18:1),538.5196,C8-pos,False,Ceramide (d18:1/16:0),HMDB0004949,C00195,,
C8p_QI100__C32:0 DAG,591.4961,C8-pos,False,DG(16:0/16:0/0:0),HMDB0007098,C00165,,
HILn_QI30__ascorbate,175.0249,HILIC-neg,True,Ascorbic acid,HMDB0000044,C01041,LHFJOBMTAJJOTB-JLAZNSOCSA-N,10000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000000000100000000000000000000000011000000000100010000000000010000000010100000000000000000010000000000000100000000000001000000010000000000000000000000000000000000001010000000000000001001000000100010001000000010110000000000000000000000100000000000100000000000000000001011110000000000000000001110000000000000000110000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI615__betaine,118.0868,HILIC-pos,True,Betaine,HMDB0000043,C00719,KWIUHFFTVRNATP-UHFFFAOYSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000000000000000000000000000000000110000011000000000000100000000100000100000000011000000000000000000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000100010000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI8513__1-methylguanosine,298.1144,HILIC-pos,True,1-Methylguanosine,HMDB0001563,C04545,,
HILn_QI72__hypoxanthine,135.0314,HILIC-neg,False,Hypoxanthine,HMDB0000157,C00262,FDGQSTZJBFJUBT-UHFFFAOYSA-N,10000000011000111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000001000000000000011000000000000000000000000001111000000000000100000000000000000000000000000000100000001000000000011001011000000100000001011011000000010110110010011001000000000000101010000000000100000111011100010111010000000000100000001000000000101101100101110001000010100000000000010101000110000001101010000101010001000000100000000100100000001000010000000100100000100000000101000000000010000000000010000000000000000010010000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI147__NH4_C48:0 TAG,824.7698,C8-pos,True,,,,,
HILp_QI8757__C9 carnitine,302.2331,HILIC-pos,True,Nonanoylcarnitine,HMDB0013288,,,
C8p_QI192__NH4_C54:4 TAG,900.802,C8-pos,True,,,,,
C8p_QI79__NH4_C20:4 CE,690.6181,C8-pos,True,,,,,
HILp_QI1110__creatine,132.0773,HILIC-pos,True,Creatine,HMDB0000064,C00300,CVSVTCORWBXHQV-UHFFFAOYSA-N,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000000000000000110000011000000000000100000000110000100000000011010000000000001000000000001010000000000000000000100100000010100000000000000000000000000000000000100000000000000000000000000000010000000000000000100010000000000000000000100000100000000000000000000000000000100000100000000000000000000000000000000000000000000000000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C18n_QI77__4-hydroxystyrene,119.049,C18-neg,True,4-Hydroxystyrene,HMDB0004072,C05627,FUGYGGDSWSUORM-UHFFFAOYSA-N,11000000011100000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000100100000001001100000000000001100000000011010000000000000000000001000000000100000000000001000100000010000100000000000000000000000100000000000000000001000000010000000000000000010001000100000000000000001100000100010001000000010000010011000100010100000100001000100010010100000000111000000000000001001001100000000010001000010001001100000000111100000001100000000000000000011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI146__C48:0 TAG,829.7254,C8-pos,False,TG(16:0/16:0/16:0),HMDB0005356,,,
HILp_TF20__urobilin,595.3493,HILIC-pos,False,L-Urobilin,HMDB0004159,C05793,DEEUSUJLZQQESV-RWPZCVJISA-N,
HILn_QI22769__valerate/isovalerate,101.0608,HILIC-neg,False,Valeric acid,HMDB0000892,C00803,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,11000000011000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000000100000001000000000000000000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI171__NH4_C52:6 TAG,868.7388,C8-pos,True,,,,,
HILp_QI9164__C10:2 carnitine,312.2172,HILIC-pos,True,"2-trans,4-cis-Decadienoylcarnitine",HMDB0013325,,,
HILn_QI6__2-hydroxy-3-methylpentanoate,131.0715,HILIC-neg,True,2-Hydroxy-3-methylpentanoic acid,HMDB0000317,,,
C8p_QI52__C24:0 Ceramide (d18:1),650.6444,C8-pos,False,Ceramide (d18:1/24:0),HMDB0004956,C00195,,
C18n_QI59__glycocholate,464.3021,C18-neg,False,Glycocholic acid,HMDB0000138,C01921,RFDAIACWWDREDC-FRVQLJSFSA-N,11110000011110100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000011000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001111000000000000100000000100000000000000000000000111100010100111000011000000000000110000000100000100000000010110000000000001000000000000010000000000000000001100100000001100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100001000000010010000000001000000000100000000001000100000000000000000001000001011000000000100100000000000000000001100110001110100011110100100011111000000000000000000000000000000000000000000000000000000000000000110000000000000000000110000000000000000000110000000000000000000100000000000000000000100000000000000000000
HILn_QI112__sorbitol,181.072,HILIC-neg,True,Sorbitol,HMDB0000247,C00794,FBPFZTCFMRRESA-JGWLITMVSA-N,11000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001000000000010000000000000000000000000000000000100000000000000000001010000000000000000000000010000000000000001110000000110000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI71__hydrocinnamate,149.0609,HILIC-neg,False,Hydrocinnamic acid,HMDB0000764,C05629,XMIIGOLPHOKFCH-UHFFFAOYSA-N,11000000011100000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001101000000000000000000000100000000000000000000000110000000000100000001001100000000000001100000000100010000000000000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000000000000000000000010001000100000000001000000000000000010001000000010000010000000110010100000000001000100010000100000000110000000000000001001001000000000000000000010001000100000000111100010001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_TF35__C18:0 LPE-B,482.3249,HILIC-pos,False,LysoPE(18:0/0:0),HMDB0011130,C21484,,
HILp_TF55__phenylalanine,166.0866,HILIC-pos,True,L-Phenylalanine,HMDB0000159,C00079,COLNVLDHVKWLRT-QMMMGPOBSA-N,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001100000000100001100000000100010000000010000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000000000000000000000010001000100010000001100000000000000010001000000010100010000000110010100000001001000100010001100000000110000000000000001001001001000000000000000010001000100000000111100110001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILp_QI1037__pipecolic acid,130.0868,HILIC-pos,True,L-Pipecolic acid,HMDB0000716,C00408,HXEACLLIILLPRG-YFKPBYRVSA-N,11000000011000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000010110000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100010000000000000000000000000100000000000010010000000001000000000100000000001000100000000000000000001000001000000000000100100000000000000000001100110000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
HILn_QI7__2-hydroxyglutarate,147.03,HILIC-neg,False,2-hydroxyglutaric acid,HMDB0059655,C00026,KPGXRSRHYNQIFN-UHFFFAOYSA-N,10000000011000000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000000100100000001000000000000000000000000000100000000000000000000000001000000000000010000000000010000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000000000000000010010000000000000000000000000000000000100000000000000000001000000000000000000000000000000000000000000100010110010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI65__NH4_C16:1 CE,640.6037,C8-pos,True,,,,,
HILp_QI1968__S-methylcysteine-S-oxide,152.039,HILIC-pos,True,,,,,
HILn_QI21__acesulfame,161.9868,HILIC-neg,False,Acesulfame,HMDB0033585,,,
HILp_TF51__spermidine,146.1655,HILIC-pos,True,Spermidine,HMDB0001257,C00315,ATHGHQPFGPMSJY-UHFFFAOYSA-N,11100000011000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000100000000000000000000000000000000100000000000110000010000000000000100000000000000000000000010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000000000000000001100000000000000000001000000000000000000000000000001000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
C8p_QI54__C16:1 SM,701.5583,C8-pos,True,,,,,
HILp_QI13719__C16:1 LPC plasmalogen,480.3458,HILIC-pos,False,LysoPC(P-16:0),HMDB0010407,C04230,,
HILn_QI110__serine,104.0353,HILIC-neg,False,L-Serine,HMDB0000187,C00065,MTCFGRXMJLQNBG-REOHCLBHSA-N,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000111000011000000000000110000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100001000000000100000000000000000000000000000000000100000000000000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
