,0
0,CON-035
1,CON-016
2,CON-015
3,CON-006
4,CON-007
5,CON-066
6,CON-018
7,CON-005
8,CON-020
9,CON-065
10,CON-008
11,CON-028
12,CON-054
13,CON-024
14,CON-026
15,CON-011
16,CON-025
17,CON-069
18,CON-050
19,CON-039
20,CON-038
21,CON-004
22,CON-064
23,CON-043
24,CON-053
25,CON-001
26,CON-061
27,CON-044
28,CON-047
29,CON-068
30,CON-029
31,CON-055
32,CON-023
33,CON-036
34,CON-012
35,CON-022
36,CON-013
37,CON-014
38,CON-030
39,CON-027
40,CON-031
41,CON-052
42,CON-048
43,CON-067
44,CON-042
45,CON-033
46,CON-059
47,CON-021
48,CON-002
49,CON-019
50,CON-034
51,CON-041
52,CON-046
53,CON-037
54,CON-010
55,CON-032
56,CON-009
57,CON-051
58,CON-045
59,CON-056
60,CON-049
61,CON-058
62,CON-063
63,CON-017
64,CON-057
65,CON-060
66,CON-003
67,CON-051
68,CON-067
69,CON-045
70,CON-023
71,CON-017
72,CON-054
73,CON-064
74,CON-047
75,CON-044
76,CON-068
77,CON-025
79,CON-038
80,CON-057
81,CON-023
82,CON-069
83,CON-001
84,CON-052
85,CON-050
86,CON-051
87,CON-015
89,CON-065
90,CON-037
91,CON-029
92,CON-019
93,CON-055
94,CON-008
95,CON-011
96,CON-055
97,CON-022
98,CON-032
99,CON-025
100,CON-009
102,CON-017
103,CON-028
104,CON-035
105,CON-008
106,CON-044
107,CON-014
108,CON-031
109,CON-009
110,CON-049
111,CON-024
112,CON-032
113,CON-053
114,CON-052
115,CON-064
116,CON-014
118,CON-027
119,CON-051
120,CON-016
121,CON-002
122,CON-052
123,CON-059
124,CON-033
125,CON-014
126,CON-047
127,CON-033
128,CON-049
129,CON-053
130,CON-031
132,CON-021
133,CON-013
134,CON-012
135,CON-041
136,CON-001
137,CON-019
138,CON-069
139,CON-049
140,CON-020
141,CON-060
142,CON-061
143,CON-024
144,CON-013
145,CON-027
146,CON-032
147,CON-009
148,CON-026
150,CON-031
151,CON-027
152,CON-037
153,CON-017
154,CON-068
155,CON-057
156,CON-057
157,CON-027
158,CON-013
159,CON-030
160,CON-038
161,CON-034
162,CON-039
163,CON-045
164,CON-001
165,CON-056
167,CON-048
168,CON-041
169,CON-041
170,CON-048
171,CON-014
172,CON-063
173,CON-066
175,CON-047
176,CON-013
177,CON-054
178,CON-023
179,CON-069
180,CON-025
181,CON-029
182,CON-065
183,CON-038
184,CON-019
185,CON-011
186,CON-016
187,CON-060
188,CON-015
190,CON-025
191,CON-025
192,CON-064
193,CON-033
194,CON-056
195,CON-014
196,CON-051
197,CON-066
198,CON-029
199,CON-065
200,CON-051
201,CON-016
202,CON-058
203,CON-069
204,CON-041
206,CON-063
207,CON-029
208,CON-014
209,CON-051
210,CON-023
211,CON-043
212,CON-021
214,CON-023
215,CON-004
216,CON-046
217,CON-006
218,CON-069
219,CON-053
220,CON-042
221,CON-050
222,CON-043
223,CON-037
225,CON-011
226,CON-035
227,CON-045
228,CON-052
229,CON-020
230,CON-032
231,CON-065
232,CON-069
233,CON-044
234,CON-029
235,CON-065
236,CON-033
237,CON-063
238,CON-047
239,CON-063
240,CON-009
242,CON-017
243,CON-035
244,CON-035
245,CON-025
246,CON-033
247,CON-046
248,CON-031
249,CON-050
250,CON-015
251,CON-014
253,CON-038
254,CON-047
255,CON-052
256,CON-008
257,CON-061
258,CON-045
259,CON-068
260,CON-009
261,CON-019
262,CON-013
264,CON-030
265,CON-039
266,CON-036
267,CON-002
268,CON-033
269,CON-037
270,CON-033
271,CON-067
272,CON-027
273,CON-004
274,CON-002
276,CON-022
277,CON-053
278,CON-012
279,CON-041
280,CON-030
281,CON-053
282,CON-025
283,CON-029
284,CON-036
285,CON-061
286,CON-056
287,CON-049
288,CON-002
289,CON-019
290,CON-056
291,CON-049
292,CON-048
293,CON-064
294,CON-036
295,CON-043
296,CON-005
297,CON-056
298,CON-030
299,CON-037
301,CON-014
302,CON-064
303,CON-001
304,CON-051
305,CON-039
306,CON-037
307,CON-014
308,CON-045
309,CON-019
310,CON-068
