,0
1059,1.0
314,1.0
587,0.0
714,1.0
1035,0.0
27,0.0
242,1.0
323,1.0
751,0.0
526,1.0
251,1.0
613,0.0
55,0.0
965,1.0
77,0.0
31,1.0
510,1.0
327,1.0
329,0.0
940,1.0
838,0.0
45,1.0
105,0.0
808,1.0
1,1.0
652,1.0
840,1.0
783,1.0
1020,1.0
387,0.0
978,1.0
281,0.0
241,1.0
1062,1.0
674,1.0
742,0.0
264,1.0
833,1.0
872,0.0
146,0.0
334,0.0
623,1.0
350,1.0
311,1.0
457,0.0
918,0.0
287,1.0
285,0.0
1053,0.0
604,1.0
683,0.0
147,0.0
437,1.0
205,1.0
278,0.0
563,0.0
265,1.0
785,1.0
316,1.0
260,1.0
987,1.0
436,1.0
638,1.0
695,1.0
275,0.0
484,1.0
408,0.0
1047,1.0
248,0.0
531,1.0
527,1.0
931,1.0
479,0.0
524,1.0
983,0.0
294,1.0
677,0.0
602,1.0
110,1.0
684,1.0
835,1.0
65,0.0
961,1.0
335,1.0
675,0.0
708,1.0
839,0.0
1021,1.0
224,1.0
99,1.0
619,1.0
494,1.0
554,0.0
268,1.0
407,0.0
578,1.0
404,0.0
518,0.0
544,1.0
830,1.0
963,1.0
125,0.0
1009,0.0
60,0.0
899,0.0
393,0.0
298,0.0
1001,0.0
758,0.0
662,0.0
330,0.0
8,0.0
561,0.0
933,0.0
653,0.0
293,0.0
449,0.0
406,0.0
54,0.0
34,0.0
286,0.0
30,0.0
427,0.0
805,0.0
485,0.0
512,0.0
1051,0.0
920,0.0
