,0
352,CON-005
854,CON-055
864,CON-017
515,CON-049
176,CON-004
24,CON-014
254,CON-038
991,CON-055
450,CON-061
128,CON-060
478,CON-005
691,CON-044
606,CON-004
903,CON-011
932,CON-037
626,CON-008
25,CON-058
751,CON-059
947,CON-048
725,CON-051
13,CON-026
936,CON-004
333,CON-054
315,CON-018
603,CON-026
60,CON-057
759,CON-041
966,CON-066
761,CON-043
753,CON-033
807,CON-052
357,CON-006
780,CON-046
1044,CON-024
100,CON-051
1023,CON-039
1039,CON-029
34,CON-016
53,CON-066
336,CON-029
1019,CON-059
1003,CON-013
746,CON-017
480,CON-045
382,CON-051
1063,CON-023
170,CON-009
500,CON-064
398,CON-036
392,CON-032
324,CON-043
900,CON-002
622,CON-021
964,CON-049
366,CON-017
733,CON-044
110,CON-033
738,CON-021
268,CON-013
764,CON-028
841,CON-035
499,CON-013
639,CON-021
862,CON-002
990,CON-014
370,CON-050
572,CON-036
238,CON-055
212,CON-035
663,CON-054
832,CON-064
1030,CON-015
158,CON-019
719,CON-056
26,CON-015
57,CON-068
46,CON-054
99,CON-021
1036,CON-032
787,CON-019
312,CON-050
1037,CON-012
521,CON-024
144,CON-057
695,CON-047
684,CON-067
446,CON-069
272,CON-018
946,CON-014
63,CON-008
943,CON-052
1017,CON-025
776,CON-020
539,CON-019
1065,CON-009
729,CON-021
831,CON-020
150,CON-047
491,CON-035
977,CON-042
1031,CON-049
283,CON-014
575,CON-017
426,CON-011
112,CON-067
177,CON-021
1014,CON-038
852,CON-023
956,CON-028
9,CON-010
816,CON-006
213,CON-015
541,CON-066
791,CON-060
347,CON-038
61,CON-044
829,CON-025
860,CON-026
381,CON-006
621,CON-005
562,CON-029
561,CON-024
321,CON-033
152,CON-064
1000,CON-020
338,CON-015
498,CON-015
509,CON-020
