,0
37,1.0
773,1.0
311,0.0
985,0.0
938,1.0
286,1.0
142,1.0
546,1.0
840,1.0
917,0.0
680,1.0
785,0.0
726,1.0
436,1.0
71,1.0
223,1.0
67,1.0
243,0.0
913,1.0
206,1.0
679,1.0
398,0.0
201,1.0
102,1.0
721,0.0
691,0.0
234,1.0
215,0.0
797,0.0
489,1.0
152,0.0
20,1.0
956,0.0
580,0.0
687,0.0
731,0.0
997,1.0
875,0.0
587,1.0
625,1.0
391,0.0
633,1.0
944,1.0
847,0.0
807,0.0
470,0.0
349,1.0
928,0.0
1050,0.0
576,0.0
557,1.0
171,1.0
920,1.0
190,1.0
988,0.0
104,1.0
613,0.0
193,0.0
68,0.0
653,0.0
358,0.0
340,0.0
968,0.0
491,0.0
