,0
0,CON-018
1,CON-039
2,CON-023
3,CON-063
4,CON-055
5,CON-048
6,CON-001
7,CON-003
8,CON-037
9,CON-027
10,CON-026
11,CON-049
12,CON-047
13,CON-011
14,CON-031
15,CON-036
16,CON-060
17,CON-057
18,CON-068
19,CON-064
20,CON-013
21,CON-053
22,CON-033
23,CON-020
24,CON-059
25,CON-041
26,CON-065
27,CON-016
28,CON-052
29,CON-004
30,CON-017
31,CON-021
32,CON-030
33,CON-066
34,CON-005
35,CON-019
36,CON-024
37,CON-014
38,CON-029
39,CON-051
40,CON-042
41,CON-044
42,CON-069
43,CON-034
44,CON-056
45,CON-025
46,CON-054
47,CON-035
48,CON-015
49,CON-008
50,CON-045
51,CON-002
52,CON-067
53,CON-007
54,CON-012
55,CON-028
56,CON-043
57,CON-022
58,CON-058
59,CON-050
60,CON-032
61,CON-038
62,CON-009
63,CON-061
64,CON-010
65,CON-006
66,CON-046
67,CON-043
68,CON-055
69,CON-007
70,CON-014
71,CON-010
72,CON-044
73,CON-039
74,CON-046
75,CON-047
76,CON-031
77,CON-052
79,CON-029
80,CON-053
81,CON-020
82,CON-044
83,CON-038
84,CON-007
85,CON-018
86,CON-060
87,CON-029
88,CON-044
89,CON-017
90,CON-022
91,CON-013
92,CON-032
93,CON-012
94,CON-066
95,CON-001
97,CON-063
98,CON-043
99,CON-003
100,CON-002
101,CON-051
102,CON-065
103,CON-043
104,CON-028
105,CON-047
106,CON-024
107,CON-020
108,CON-044
110,CON-043
111,CON-016
112,CON-002
113,CON-029
114,CON-006
115,CON-022
116,CON-021
117,CON-016
118,CON-001
119,CON-020
120,CON-064
121,CON-045
122,CON-057
123,CON-064
124,CON-038
125,CON-009
126,CON-004
127,CON-054
128,CON-002
129,CON-057
131,CON-014
132,CON-024
133,CON-023
134,CON-020
135,CON-017
136,CON-059
137,CON-005
138,CON-063
139,CON-007
140,CON-034
141,CON-024
142,CON-003
143,CON-012
144,CON-005
145,CON-026
146,CON-038
147,CON-016
149,CON-010
150,CON-045
151,CON-023
152,CON-065
153,CON-063
154,CON-049
155,CON-037
156,CON-011
157,CON-049
158,CON-028
160,CON-050
161,CON-025
162,CON-028
163,CON-045
164,CON-060
165,CON-032
166,CON-056
167,CON-035
168,CON-048
169,CON-023
171,CON-036
172,CON-001
173,CON-057
174,CON-064
175,CON-029
176,CON-025
177,CON-017
178,CON-027
179,CON-025
180,CON-052
181,CON-029
182,CON-052
183,CON-067
184,CON-042
185,CON-019
186,CON-016
187,CON-002
188,CON-068
189,CON-038
191,CON-051
192,CON-034
193,CON-041
194,CON-055
195,CON-043
196,CON-023
197,CON-011
198,CON-021
199,CON-053
201,CON-029
202,CON-041
203,CON-016
204,CON-031
205,CON-011
206,CON-009
207,CON-035
208,CON-029
209,CON-054
210,CON-045
211,CON-051
212,CON-004
213,CON-019
214,CON-021
215,CON-004
217,CON-033
218,CON-048
219,CON-025
220,CON-014
221,CON-031
222,CON-042
223,CON-007
224,CON-057
225,CON-067
226,CON-018
227,CON-068
228,CON-064
229,CON-032
230,CON-050
232,CON-041
233,CON-010
234,CON-015
235,CON-020
236,CON-044
237,CON-034
238,CON-035
239,CON-063
240,CON-060
241,CON-013
242,CON-005
243,CON-060
245,CON-064
246,CON-034
247,CON-038
248,CON-007
249,CON-023
250,CON-030
251,CON-056
252,CON-068
253,CON-046
254,CON-014
255,CON-064
256,CON-006
257,CON-026
258,CON-055
260,CON-033
261,CON-003
262,CON-031
263,CON-036
264,CON-003
265,CON-055
266,CON-005
267,CON-066
268,CON-039
270,CON-003
271,CON-058
272,CON-055
273,CON-051
274,CON-019
275,CON-014
276,CON-066
277,CON-013
278,CON-006
279,CON-033
280,CON-057
281,CON-059
282,CON-024
283,CON-065
284,CON-044
285,CON-014
286,CON-045
287,CON-023
288,CON-010
289,CON-042
291,CON-047
292,CON-061
293,CON-065
294,CON-050
295,CON-051
296,CON-047
297,CON-048
298,CON-042
299,CON-001
300,CON-065
301,CON-060
302,CON-039
303,CON-025
304,CON-001
305,CON-024
306,CON-042
307,CON-065
309,CON-049
310,CON-008
311,CON-031
312,CON-035
313,CON-060
314,CON-001
315,CON-025
316,CON-030
317,CON-054
318,CON-055
319,CON-063
320,CON-030
321,CON-050
322,CON-046
323,CON-061
324,CON-014
325,CON-012
326,CON-034
327,CON-048
328,CON-035
329,CON-029
331,CON-037
332,CON-032
333,CON-014
334,CON-065
335,CON-008
336,CON-039
337,CON-025
338,CON-066
339,CON-067
340,CON-060
341,CON-043
342,CON-050
343,CON-056
345,CON-061
346,CON-059
347,CON-034
348,CON-051
349,CON-052
350,CON-049
351,CON-057
352,CON-051
354,CON-044
355,CON-045
356,CON-019
357,CON-006
358,CON-004
359,CON-036
360,CON-020
361,CON-025
362,CON-009
363,CON-009
364,CON-054
365,CON-066
366,CON-047
367,CON-005
368,CON-020
369,CON-057
371,CON-041
372,CON-006
373,CON-007
374,CON-050
375,CON-069
376,CON-039
377,CON-067
378,CON-013
379,CON-030
380,CON-006
381,CON-001
383,CON-059
384,CON-038
385,CON-006
386,CON-008
387,CON-051
388,CON-026
389,CON-009
390,CON-050
391,CON-021
392,CON-003
394,CON-027
395,CON-068
396,CON-016
397,CON-018
398,CON-063
399,CON-041
400,CON-036
401,CON-069
402,CON-033
403,CON-053
405,CON-053
406,CON-054
407,CON-031
408,CON-057
409,CON-009
410,CON-052
411,CON-049
412,CON-009
413,CON-043
414,CON-046
415,CON-036
416,CON-039
417,CON-015
419,CON-051
420,CON-003
421,CON-060
422,CON-010
423,CON-013
424,CON-064
425,CON-035
426,CON-025
427,CON-046
428,CON-019
429,CON-046
430,CON-008
431,CON-066
432,CON-020
434,CON-029
435,CON-060
436,CON-035
437,CON-008
438,CON-065
439,CON-056
440,CON-033
441,CON-025
442,CON-064
443,CON-056
444,CON-017
446,CON-039
447,CON-021
448,CON-006
449,CON-004
450,CON-043
451,CON-005
452,CON-015
453,CON-029
454,CON-018
455,CON-015
456,CON-051
457,CON-014
458,CON-009
459,CON-014
460,CON-014
462,CON-008
463,CON-056
464,CON-008
465,CON-066
466,CON-027
467,CON-037
468,CON-028
469,CON-015
470,CON-038
471,CON-057
472,CON-025
473,CON-039
474,CON-003
475,CON-041
476,CON-061
478,CON-022
479,CON-038
480,CON-015
481,CON-028
482,CON-035
483,CON-054
484,CON-014
485,CON-049
486,CON-068
487,CON-050
488,CON-004
489,CON-032
490,CON-034
491,CON-065
493,CON-055
494,CON-029
495,CON-058
496,CON-057
497,CON-014
498,CON-053
499,CON-063
500,CON-057
501,CON-008
502,CON-061
503,CON-061
504,CON-066
506,CON-028
507,CON-019
508,CON-049
509,CON-043
510,CON-043
511,CON-036
512,CON-030
513,CON-043
514,CON-053
515,CON-069
516,CON-009
517,CON-059
518,CON-067
519,CON-028
521,CON-063
522,CON-007
523,CON-058
524,CON-024
525,CON-031
526,CON-039
527,CON-031
528,CON-036
529,CON-058
530,CON-027
532,CON-031
533,CON-025
534,CON-027
535,CON-015
536,CON-045
537,CON-029
538,CON-029
539,CON-009
540,CON-032
541,CON-046
542,CON-003
543,CON-016
545,CON-050
546,CON-042
547,CON-016
548,CON-063
549,CON-039
550,CON-060
551,CON-048
552,CON-018
553,CON-018
554,CON-029
555,CON-028
556,CON-054
557,CON-047
558,CON-007
559,CON-029
560,CON-036
561,CON-012
562,CON-022
564,CON-015
565,CON-027
566,CON-043
567,CON-024
568,CON-013
569,CON-025
570,CON-038
571,CON-056
572,CON-045
573,CON-059
574,CON-030
575,CON-053
576,CON-051
577,CON-047
579,CON-037
580,CON-060
581,CON-042
582,CON-002
583,CON-049
584,CON-067
585,CON-069
586,CON-010
587,CON-032
588,CON-063
589,CON-063
590,CON-036
591,CON-031
592,CON-046
593,CON-003
594,CON-036
596,CON-042
597,CON-044
598,CON-033
599,CON-027
600,CON-046
601,CON-031
602,CON-005
603,CON-025
604,CON-065
605,CON-045
606,CON-020
608,CON-032
609,CON-050
610,CON-051
611,CON-013
612,CON-026
613,CON-023
614,CON-037
615,CON-060
616,CON-039
617,CON-036
618,CON-033
619,CON-029
620,CON-043
621,CON-036
622,CON-018
623,CON-034
624,CON-003
626,CON-059
627,CON-065
628,CON-006
629,CON-023
630,CON-055
631,CON-006
632,CON-007
633,CON-058
634,CON-042
635,CON-017
636,CON-017
637,CON-019
638,CON-038
639,CON-049
640,CON-021
641,CON-037
642,CON-067
643,CON-029
644,CON-002
645,CON-066
646,CON-031
647,CON-022
648,CON-047
650,CON-066
651,CON-041
652,CON-019
653,CON-054
654,CON-011
655,CON-063
656,CON-058
657,CON-031
658,CON-006
659,CON-008
660,CON-033
661,CON-038
662,CON-046
663,CON-065
664,CON-058
665,CON-029
666,CON-051
668,CON-043
669,CON-067
670,CON-067
671,CON-029
672,CON-003
673,CON-042
674,CON-058
675,CON-015
676,CON-051
677,CON-037
678,CON-063
679,CON-008
681,CON-060
682,CON-068
683,CON-010
684,CON-069
685,CON-035
686,CON-044
687,CON-026
688,CON-019
689,CON-027
690,CON-058
691,CON-064
692,CON-007
693,CON-039
694,CON-005
695,CON-052
696,CON-017
697,CON-060
698,CON-037
700,CON-061
701,CON-052
702,CON-059
703,CON-044
704,CON-009
705,CON-054
706,CON-060
707,CON-063
708,CON-015
710,CON-054
711,CON-024
712,CON-008
713,CON-044
714,CON-028
715,CON-066
716,CON-036
717,CON-064
718,CON-034
