,0
968,1.0
278,1.0
666,0.0
653,1.0
664,1.0
619,0.0
986,1.0
599,1.0
180,1.0
717,1.0
707,0.0
41,0.0
265,1.0
105,1.0
614,0.0
750,1.0
513,1.0
587,1.0
766,0.0
571,0.0
646,0.0
419,1.0
946,0.0
1017,1.0
590,1.0
218,0.0
323,1.0
461,0.0
262,0.0
58,1.0
793,1.0
400,1.0
51,0.0
156,1.0
591,1.0
365,1.0
914,1.0
1011,1.0
427,1.0
12,1.0
456,0.0
942,1.0
498,1.0
40,1.0
1049,1.0
857,0.0
228,1.0
751,1.0
488,0.0
845,1.0
201,1.0
979,1.0
1056,0.0
102,0.0
346,1.0
975,1.0
261,0.0
870,1.0
165,0.0
534,0.0
0,0.0
138,0.0
635,1.0
437,0.0
307,1.0
890,1.0
953,0.0
588,0.0
972,1.0
774,1.0
412,0.0
580,1.0
730,1.0
548,1.0
78,0.0
906,0.0
631,0.0
18,0.0
496,1.0
716,1.0
1019,0.0
64,1.0
923,1.0
108,1.0
1064,1.0
133,1.0
438,1.0
1047,0.0
641,1.0
257,1.0
787,1.0
928,1.0
389,1.0
542,0.0
189,0.0
803,0.0
298,1.0
712,0.0
135,1.0
56,1.0
244,0.0
776,1.0
943,0.0
35,0.0
654,1.0
363,0.0
430,0.0
80,0.0
924,1.0
602,0.0
506,0.0
886,1.0
92,0.0
695,1.0
909,0.0
258,0.0
206,1.0
123,1.0
93,0.0
103,1.0
246,1.0
220,0.0
816,0.0
786,0.0
819,1.0
465,1.0
453,1.0
775,0.0
395,1.0
472,0.0
872,1.0
470,0.0
795,0.0
1010,0.0
596,0.0
1006,0.0
1014,1.0
321,0.0
507,1.0
1015,1.0
209,1.0
328,0.0
43,0.0
288,1.0
742,0.0
348,1.0
911,1.0
869,0.0
920,1.0
213,0.0
129,0.0
352,1.0
364,0.0
832,0.0
113,0.0
1044,1.0
815,1.0
643,1.0
458,0.0
681,1.0
1048,0.0
1053,0.0
172,0.0
349,0.0
1033,1.0
702,1.0
797,1.0
468,0.0
127,0.0
30,1.0
784,1.0
150,0.0
528,1.0
333,0.0
892,0.0
191,0.0
859,1.0
482,0.0
431,1.0
569,0.0
311,0.0
386,0.0
297,0.0
163,0.0
128,0.0
111,0.0
525,1.0
519,0.0
555,1.0
708,1.0
1036,1.0
779,1.0
613,1.0
66,0.0
39,0.0
318,1.0
1039,1.0
296,0.0
582,0.0
731,1.0
435,1.0
350,0.0
134,1.0
316,0.0
605,0.0
79,0.0
130,1.0
454,0.0
492,1.0
50,1.0
823,1.0
798,1.0
770,0.0
867,1.0
713,1.0
660,0.0
216,0.0
158,0.0
4,0.0
649,1.0
73,1.0
16,0.0
267,0.0
531,0.0
879,1.0
393,1.0
572,1.0
608,1.0
735,1.0
922,1.0
696,0.0
193,0.0
462,0.0
771,0.0
985,0.0
780,0.0
710,1.0
302,0.0
353,0.0
540,1.0
891,1.0
628,1.0
57,1.0
532,0.0
304,1.0
677,1.0
950,0.0
290,0.0
982,0.0
566,1.0
689,0.0
530,0.0
855,1.0
32,0.0
939,1.0
768,1.0
847,0.0
83,0.0
388,1.0
184,0.0
90,0.0
668,1.0
850,0.0
966,1.0
505,1.0
866,0.0
385,1.0
574,0.0
885,0.0
235,0.0
970,0.0
535,1.0
300,0.0
563,1.0
944,1.0
347,0.0
76,1.0
1009,1.0
322,0.0
169,0.0
95,1.0
754,1.0
615,0.0
295,0.0
904,1.0
174,0.0
791,1.0
576,1.0
276,0.0
723,0.0
335,0.0
467,0.0
662,0.0
864,0.0
455,0.0
900,0.0
309,0.0
655,0.0
367,0.0
579,0.0
