,0
539,CON-039
870,CON-048
480,CON-022
389,CON-039
254,CON-058
990,CON-026
276,CON-009
862,CON-069
335,CON-054
49,CON-054
473,CON-061
146,CON-026
1032,CON-047
364,CON-029
1035,CON-044
137,CON-007
106,CON-008
6,CON-013
638,CON-026
527,CON-035
747,CON-004
501,CON-054
636,CON-048
534,CON-001
459,CON-058
122,CON-023
111,CON-066
688,CON-002
627,CON-065
396,CON-066
970,CON-063
764,CON-024
792,CON-045
525,CON-035
428,CON-002
288,CON-064
79,CON-036
767,CON-057
685,CON-045
653,CON-029
928,CON-066
736,CON-038
91,CON-033
103,CON-042
95,CON-013
614,CON-006
571,CON-015
41,CON-014
481,CON-020
1061,CON-013
759,CON-028
34,CON-007
679,CON-054
35,CON-002
153,CON-034
483,CON-029
943,CON-045
720,CON-031
516,CON-039
729,CON-023
323,CON-051
250,CON-044
419,CON-053
781,CON-031
875,CON-022
864,CON-035
493,CON-016
868,CON-037
561,CON-011
17,CON-023
754,CON-039
391,CON-069
253,CON-024
1028,CON-029
485,CON-019
65,CON-052
199,CON-030
892,CON-058
349,CON-046
678,CON-034
268,CON-061
790,CON-039
804,CON-029
805,CON-014
1014,CON-021
1058,CON-007
491,CON-065
898,CON-032
610,CON-053
560,CON-027
695,CON-046
197,CON-005
550,CON-056
1019,CON-007
439,CON-015
714,CON-020
594,CON-027
631,CON-052
272,CON-016
160,CON-050
354,CON-014
13,CON-005
971,CON-061
162,CON-020
454,CON-055
877,CON-001
281,CON-031
572,CON-028
248,CON-059
1006,CON-037
509,CON-042
835,CON-029
1013,CON-066
59,CON-050
924,CON-008
182,CON-046
476,CON-051
123,CON-021
845,CON-043
187,CON-037
3,CON-034
203,CON-066
727,CON-022
850,CON-035
794,CON-030
737,CON-017
2,CON-017
1063,CON-016
