,0
683,0.0
811,1.0
969,1.0
209,0.0
623,0.0
848,0.0
694,1.0
803,1.0
440,1.0
528,1.0
545,1.0
483,0.0
939,0.0
562,0.0
189,0.0
476,1.0
800,0.0
861,0.0
281,0.0
58,1.0
259,0.0
133,0.0
737,1.0
644,0.0
884,0.0
731,0.0
88,1.0
812,0.0
865,0.0
615,0.0
566,0.0
690,0.0
1065,1.0
700,0.0
853,0.0
269,1.0
735,0.0
678,0.0
758,1.0
654,1.0
752,0.0
86,0.0
949,1.0
746,0.0
260,1.0
909,1.0
560,0.0
205,1.0
1011,0.0
637,1.0
379,0.0
902,1.0
810,1.0
711,1.0
463,1.0
886,0.0
185,1.0
84,1.0
28,1.0
48,1.0
251,1.0
330,1.0
662,1.0
371,1.0
