,0
579,CON-065
548,CON-022
201,CON-030
11,CON-015
295,CON-017
695,CON-056
685,CON-014
814,CON-027
207,CON-013
767,CON-018
248,CON-014
532,CON-036
604,CON-034
1044,CON-019
1034,CON-024
966,CON-008
60,CON-023
375,CON-056
992,CON-004
356,CON-069
872,CON-031
299,CON-015
1012,CON-051
634,CON-014
785,CON-015
1011,CON-030
3,CON-042
806,CON-067
610,CON-032
1007,CON-024
802,CON-016
305,CON-021
165,CON-059
651,CON-018
368,CON-021
904,CON-051
533,CON-012
351,CON-016
874,CON-068
384,CON-036
501,CON-061
451,CON-053
922,CON-005
726,CON-032
969,CON-003
72,CON-039
867,CON-001
1025,CON-042
670,CON-012
335,CON-007
23,CON-013
847,CON-041
302,CON-046
222,CON-017
809,CON-033
889,CON-037
909,CON-003
564,CON-028
602,CON-010
948,CON-019
33,CON-055
476,CON-008
591,CON-037
707,CON-054
856,CON-051
218,CON-039
689,CON-063
135,CON-044
560,CON-048
898,CON-019
473,CON-001
868,CON-013
632,CON-028
466,CON-032
662,CON-058
1037,CON-025
28,CON-034
474,CON-068
920,CON-007
272,CON-015
172,CON-024
886,CON-019
1059,CON-038
629,CON-014
576,CON-067
417,CON-061
589,CON-038
12,CON-002
756,CON-011
1001,CON-002
853,CON-054
204,CON-039
330,CON-056
626,CON-057
138,CON-038
1028,CON-045
962,CON-005
614,CON-010
183,CON-052
469,CON-046
109,CON-039
572,CON-030
210,CON-022
743,CON-051
393,CON-017
639,CON-039
430,CON-042
217,CON-036
153,CON-037
389,CON-027
327,CON-017
1036,CON-056
378,CON-068
654,CON-050
447,CON-027
593,CON-014
1058,CON-024
370,CON-011
317,CON-042
284,CON-063
264,CON-028
718,CON-065
467,CON-069
1033,CON-048
99,CON-004
990,CON-033
420,CON-049
616,CON-053
