,0
539,0.0
870,1.0
480,1.0
389,0.0
254,0.0
990,1.0
276,1.0
862,1.0
335,0.0
49,1.0
473,0.0
146,0.0
1032,1.0
364,0.0
1035,1.0
137,1.0
106,1.0
6,0.0
638,0.0
527,1.0
747,1.0
501,1.0
636,1.0
534,1.0
459,1.0
122,1.0
111,1.0
688,1.0
627,0.0
396,1.0
970,0.0
764,1.0
792,1.0
525,1.0
428,1.0
288,1.0
79,0.0
767,0.0
685,0.0
653,0.0
928,0.0
736,1.0
91,1.0
103,0.0
95,1.0
614,1.0
571,1.0
41,0.0
481,0.0
1061,0.0
759,1.0
34,1.0
35,0.0
943,0.0
323,0.0
781,0.0
864,0.0
17,0.0
754,0.0
391,0.0
253,0.0
65,0.0
268,0.0
804,0.0
