,0
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,12
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,22
20,26
21,27
22,28
23,29
24,31
25,32
26,33
27,34
28,35
29,37
30,38
31,39
32,40
33,41
34,42
35,43
36,45
37,47
38,50
39,51
40,53
41,54
42,55
43,56
44,57
45,59
46,60
47,61
48,62
49,63
50,64
51,66
52,67
53,68
54,69
55,73
56,74
57,75
58,76
59,77
60,78
61,79
62,80
63,81
64,83
65,84
66,85
67,87
68,88
69,89
70,90
71,91
72,92
73,94
74,95
75,96
76,97
77,99
78,100
79,101
80,102
81,103
82,104
83,105
84,106
85,107
86,109
87,110
88,111
89,112
90,113
91,114
92,115
93,116
94,117
95,118
96,120
97,122
98,123
99,124
100,126
101,127
102,128
103,129
104,130
105,131
106,132
107,133
108,134
109,137
110,138
111,139
112,141
113,142
114,143
115,144
116,145
117,146
118,147
119,150
120,151
121,152
122,153
123,154
