,0
0,0
1,1
2,2
3,4
4,8
5,9
6,10
7,11
8,13
9,14
10,16
11,17
12,18
13,19
14,20
15,21
16,22
17,23
18,24
19,25
20,26
21,27
22,28
23,29
24,30
25,32
26,34
27,35
28,36
29,39
30,40
31,41
32,42
33,44
34,45
35,46
36,47
37,48
38,49
39,50
40,51
41,52
42,54
43,55
44,57
45,58
46,59
47,60
48,61
49,62
50,63
51,64
52,65
53,66
54,68
55,70
56,71
57,72
58,73
59,74
60,76
61,77
62,78
63,82
64,83
65,84
66,86
67,87
68,88
69,90
70,91
71,92
72,93
73,94
74,96
75,97
76,98
77,99
78,100
79,102
80,103
81,105
82,107
83,108
84,109
85,110
86,111
87,112
88,114
89,115
90,116
91,117
92,118
93,119
94,120
95,121
96,122
97,124
98,125
99,126
100,127
101,128
102,129
103,130
104,131
105,132
106,133
107,134
108,135
109,136
110,138
111,139
112,140
113,141
114,142
115,144
116,146
117,147
118,148
119,149
120,150
121,151
122,152
123,153
