,ASV 0,ASV 1,ASV 2,ASV 3,ASV 4,ASV 5,ASV 6,ASV 7,ASV 8,ASV 9,ASV 10,ASV 11,ASV 12,ASV 13,ASV 14,ASV 15,ASV 16,ASV 17,ASV 18,ASV 19,ASV 20,ASV 21,ASV 22,ASV 23,ASV 24,ASV 25,ASV 26,ASV 27,ASV 28,ASV 29,ASV 30,ASV 31,ASV 32,ASV 33,ASV 34,ASV 35,ASV 36,ASV 37,ASV 38,ASV 39,ASV 40,ASV 41,ASV 42,ASV 43,ASV 44,ASV 45,ASV 46,ASV 47,ASV 48,ASV 49,ASV 50,ASV 51,ASV 52,ASV 53,ASV 54,ASV 55,ASV 56,ASV 57,ASV 58,ASV 59,ASV 60,ASV 61,ASV 62,ASV 63,ASV 64,ASV 65,ASV 66,ASV 67,ASV 68,ASV 69,ASV 70,ASV 71,ASV 72,ASV 73,ASV 74,ASV 75,ASV 76,ASV 77,ASV 78,ASV 79,ASV 80,ASV 81,ASV 82,ASV 83,ASV 84,ASV 85,ASV 86,ASV 87,ASV 88,ASV 89,ASV 90,ASV 91,ASV 92,ASV 93,ASV 94,ASV 95,ASV 96,ASV 97,ASV 98,ASV 99,ASV 100,ASV 101,ASV 102,ASV 103,ASV 104,ASV 105,ASV 106,ASV 107,ASV 108,ASV 109,ASV 110,ASV 111,ASV 112,ASV 113,ASV 114,ASV 115,ASV 116,ASV 117,ASV 118,ASV 119,ASV 120,ASV 121,ASV 122,ASV 123,ASV 124,ASV 125,ASV 126,ASV 127,ASV 128,ASV 129,ASV 130,ASV 131,ASV 132,ASV 133,ASV 134,ASV 135,ASV 136,ASV 137,ASV 138,ASV 139,ASV 140,ASV 141,ASV 142,ASV 143,ASV 144,ASV 145,ASV 146
ASV 0,0.0,0.20501512500000002,0.9159097916666668,0.831843125,0.9533981250000001,0.9300444364754099,0.9867831250000001,0.9680831250000002,0.9581881250000002,0.8687292540322582,0.8754391250000002,0.8762281250000001,0.7833845535714287,0.7814285795454546,0.7736785795454546,0.794258125,0.8205831250000001,0.8395631250000002,0.7520831250000001,0.8260431250000001,0.805659125,0.788360625,0.5500802916666667,1.0979156250000002,1.076693125,1.0529764583333334,0.9860431250000001,1.027946282894737,1.0299031250000001,1.1143481250000002,1.0172709172077923,0.9173012500000002,1.0523611250000002,0.774401125,0.8064033210784314,0.834763125,0.8148997916666667,0.7525333290816327,0.584023911516854,0.9148564583333334,0.8588824583333334,0.796478125,0.6471744407894737,0.8381631250000001,0.8492531249999999,0.8443281250000001,0.5719997132352941,0.9164931250000001,0.888383125,0.7630953472222223,0.8933831250000002,0.6385885795454547,0.9177831249999999,0.910273125,0.817723125,0.838423125,0.6104754107142858,0.895488125,0.8213764583333333,0.8001174107142858,0.7898406250000001,0.797463125,0.8440564583333334,0.9083531250000001,0.9036081250000001,0.8973431250000001,0.772869050925926,0.882883125,0.8119182974137932,0.8758431250000001,0.924190625,0.7832302678571429,0.8618231250000001,0.7074264583333334,0.8617281250000002,0.823673125,0.8441031250000002,0.842607125,0.8641931250000001,0.8212264583333333,0.7444256250000001,0.6841997916666667,0.835265125,0.8527891250000001,0.8989731249999999,0.8583364583333335,0.7414392788461539,0.684147625,0.880203125,0.916343125,0.8717431250000001,0.868883125,0.7444581250000001,0.871803125,0.735505625,0.9250731249999999,0.951213125,0.961783125,0.9754031249999999,0.862113125,0.866553125,0.948943125,0.7581731250000001,0.6029522478070175,0.7766497916666667,0.713555625,0.7257064583333334,0.7563797916666667,0.838823125,0.7652531250000001,0.8010047916666667,0.7525931250000001,0.721213125,0.920808125,0.6191992788461539,0.5392815865384616,0.8378631250000002,0.7559264583333334,0.764672013888889,0.781663125,0.825063125,0.769697125,0.8429431250000001,0.7598849107142858,0.8795331250000002,0.7330224353448277,0.857913125,0.8483747379032258,0.8213996250000001,0.9152216964285715,0.8353491250000002,0.8968971250000002,0.832440625,0.9102231250000001,0.8356209027777779,0.9553131250000002,0.9150856250000001,0.9009481250000002,0.9285781250000003,0.9130406250000003,0.871890267857143,0.8063504934210527,0.5926743750000001,0.7572831250000001,0.786933125,0.806648125,0.8676481250000001
ASV 1,0.20501512500000002,0.0,0.9589586666666667,0.874892,0.9964470000000001,0.9730933114754099,1.029832,1.0111320000000001,1.0012370000000002,0.9117781290322582,0.9184880000000002,0.9192770000000001,0.8264334285714288,0.8244774545454547,0.8167274545454546,0.837307,0.8636320000000002,0.8826120000000002,0.7951320000000002,0.8690920000000002,0.848708,0.8314095000000001,0.5931291666666667,1.1409645000000002,1.119742,1.0960253333333334,1.0290920000000001,1.070995157894737,1.0729520000000001,1.1573970000000002,1.0603197922077923,0.9603501250000002,1.0954100000000002,0.81745,0.8494521960784314,0.877812,0.8579486666666667,0.7955822040816327,0.6270727865168539,0.9579053333333334,0.9019313333333334,0.8395270000000001,0.6902233157894737,0.8812120000000001,0.8923019999999999,0.8873770000000001,0.6150485882352941,0.9595420000000001,0.931432,0.8061442222222224,0.9364320000000002,0.6816374545454547,0.9608319999999999,0.953322,0.8607720000000001,0.881472,0.6535242857142858,0.938537,0.8644253333333334,0.8431662857142859,0.8328895000000001,0.8405120000000001,0.8871053333333334,0.9514020000000001,0.9466570000000001,0.9403920000000001,0.8159179259259259,0.925932,0.8549671724137933,0.918892,0.9672395,0.826279142857143,0.9048720000000001,0.7504753333333334,0.9047770000000002,0.866722,0.8871520000000002,0.885656,0.9072420000000001,0.8642753333333333,0.7874745000000001,0.7272486666666667,0.878314,0.8958380000000001,0.9420219999999999,0.9013853333333335,0.7844881538461539,0.7271965,0.923252,0.959392,0.914792,0.911932,0.7875070000000002,0.914852,0.7785545,0.9681219999999999,0.994262,1.004832,1.018452,0.905162,0.909602,0.991992,0.8012220000000001,0.6460011228070175,0.8196986666666668,0.7566045000000001,0.7687553333333335,0.7994286666666668,0.881872,0.8083020000000001,0.8440536666666667,0.7956420000000002,0.764262,0.963857,0.662248153846154,0.5823304615384617,0.8809120000000001,0.7989753333333334,0.8077208888888889,0.8247120000000001,0.868112,0.812746,0.8859920000000001,0.8029337857142858,0.9225820000000002,0.7760713103448278,0.900962,0.8914236129032258,0.8644485000000002,0.9582705714285715,0.8783980000000002,0.9399460000000002,0.8754895,0.9532720000000001,0.8786697777777779,0.9983620000000002,0.9581345000000001,0.9439970000000002,0.9716270000000002,0.9560895000000003,0.914939142857143,0.8493993684210528,0.6357232500000001,0.800332,0.829982,0.8496970000000001,0.9106970000000001
ASV 2,0.9159097916666668,0.9589586666666667,0.0,0.15832666666666667,0.3626016666666667,0.3392479781420765,0.3959866666666667,0.3772866666666667,0.36739166666666667,0.47745279569892474,0.30986266666666673,0.4166316666666667,0.6269480952380952,0.6249921212121212,0.6172421212121212,0.6378216666666666,0.6641466666666667,0.6831266666666667,0.5956466666666667,0.6696066666666667,0.6492226666666666,0.6319241666666666,0.4325238333333334,0.9803591666666667,0.9591366666666666,0.93542,0.8684866666666667,0.9103898245614035,0.9123466666666666,0.9967916666666667,0.8997144588744589,0.7997447916666667,0.9348046666666667,0.6523246666666667,0.6843268627450979,0.7126866666666667,0.6928233333333333,0.6304568707482993,0.4619474531835207,0.7927799999999998,0.7368059999999998,0.6744016666666667,0.5250979824561403,0.7160866666666665,0.7271766666666665,0.7222516666666665,0.46400325490196087,0.7944166666666665,0.7663066666666666,0.6410188888888888,0.7713066666666666,0.5165121212121213,0.7957066666666665,0.7881966666666665,0.6956466666666665,0.7163466666666666,0.48839895238095243,0.7734116666666665,0.6992999999999999,0.6780409523809523,0.6677641666666666,0.6753866666666666,0.7219799999999998,0.7862766666666665,0.7815316666666665,0.7752666666666665,0.6507925925925925,0.7608066666666665,0.6898418390804597,0.7537666666666666,0.8021141666666666,0.6611538095238094,0.7397466666666666,0.5853499999999999,0.7396516666666666,0.7015966666666665,0.7220266666666666,0.7205306666666665,0.7421166666666665,0.6991499999999999,0.6223491666666666,0.5621233333333333,0.7131886666666666,0.7307126666666666,0.7768966666666665,0.7362599999999999,0.6193628205128204,0.5620711666666666,0.7581266666666665,0.7942666666666665,0.7496666666666665,0.7468066666666665,0.6223816666666666,0.7497266666666665,0.6134291666666666,0.8029966666666665,0.8291366666666665,0.8397066666666665,0.8533266666666665,0.7400366666666665,0.7444766666666665,0.8268666666666665,0.6360966666666666,0.48087578947368426,0.6545733333333333,0.5914791666666667,0.60363,0.6343033333333333,0.7167466666666665,0.6431766666666666,0.6789283333333332,0.6305166666666666,0.5991366666666667,0.7987316666666665,0.49712282051282053,0.43128512820512827,0.7203066666666667,0.63837,0.6471155555555556,0.6641066666666666,0.7075066666666666,0.6521406666666666,0.7253866666666666,0.6423284523809524,0.7619766666666666,0.6154659770114943,0.7403566666666666,0.7308182795698923,0.7038431666666667,0.797665238095238,0.7177926666666667,0.7793406666666667,0.7148841666666667,0.7926666666666666,0.7180644444444445,0.8377566666666666,0.7975291666666666,0.7833916666666666,0.8110216666666666,0.7954841666666667,0.7543338095238095,0.6887940350877193,0.47511791666666675,0.7159466666666666,0.7455966666666666,0.7653116666666666,0.7500916666666666
ASV 3,0.831843125,0.874892,0.15832666666666667,0.0,0.278535,0.25518131147540984,0.31192000000000003,0.29322,0.283325,0.3933861290322581,0.22579600000000002,0.33256499999999994,0.5428814285714285,0.5409254545454545,0.5331754545454546,0.553755,0.5800799999999999,0.5990599999999999,0.5115799999999999,0.58554,0.565156,0.5478575,0.34845716666666665,0.8962924999999999,0.8750699999999999,0.8513533333333333,0.78442,0.8263231578947368,0.8282799999999999,0.912725,0.8156477922077922,0.715678125,0.850738,0.5682579999999999,0.6002601960784313,0.62862,0.6087566666666666,0.5463902040816326,0.377880786516854,0.7087133333333332,0.6527393333333332,0.5903349999999999,0.44103131578947374,0.6320199999999999,0.6431099999999998,0.6381849999999999,0.37993658823529414,0.7103499999999999,0.68224,0.5569522222222222,0.68724,0.4324454545454546,0.7116399999999998,0.7041299999999999,0.6115799999999999,0.6322799999999998,0.4043322857142858,0.6893449999999999,0.6152333333333332,0.5939742857142857,0.5836975,0.59132,0.6379133333333332,0.7022099999999999,0.6974649999999999,0.6911999999999999,0.5667259259259259,0.6767399999999999,0.6057751724137931,0.6697,0.7180475,0.5770871428571428,0.6556799999999999,0.5012833333333333,0.655585,0.6175299999999999,0.63796,0.6364639999999999,0.6580499999999999,0.6150833333333332,0.5382824999999999,0.4780566666666667,0.629122,0.6466459999999999,0.6928299999999998,0.6521933333333333,0.5352961538461538,0.47800450000000005,0.6740599999999999,0.7101999999999998,0.6655999999999999,0.6627399999999999,0.538315,0.6656599999999999,0.5293625,0.7189299999999998,0.7450699999999999,0.7556399999999999,0.7692599999999998,0.6559699999999998,0.6604099999999998,0.7427999999999999,0.5520299999999999,0.39680912280701763,0.5705066666666666,0.5074125,0.5195633333333333,0.5502366666666666,0.6326799999999999,0.55911,0.5948616666666666,0.54645,0.51507,0.7146649999999999,0.4130561538461539,0.34721846153846153,0.63624,0.5543033333333333,0.5630488888888888,0.58004,0.6234399999999999,0.568074,0.64132,0.5582617857142856,0.67791,0.5313993103448276,0.6562899999999999,0.6467516129032257,0.6197765,0.7135985714285714,0.633726,0.6952740000000001,0.6308174999999999,0.7086,0.6339977777777778,0.75369,0.7134625,0.699325,0.726955,0.7114175,0.6702671428571428,0.6047273684210526,0.39105125,0.63188,0.66153,0.681245,0.666025
ASV 4,0.9533981250000001,0.9964470000000001,0.3626016666666667,0.278535,0.0,0.12655631147540983,0.183295,0.136455,0.12656,0.5149411290322581,0.347351,0.45411999999999997,0.6644364285714286,0.6624804545454546,0.6547304545454545,0.67531,0.701635,0.720615,0.633135,0.707095,0.686711,0.6694125,0.47001216666666673,1.0178475,0.996625,0.9729083333333334,0.9059750000000001,0.9478781578947368,0.949835,1.03428,0.9372027922077922,0.8372331250000001,0.9722930000000001,0.689813,0.7218151960784313,0.750175,0.7303116666666667,0.6679452040816326,0.49943578651685394,0.8302683333333333,0.7742943333333333,0.71189,0.5625863157894736,0.7535749999999999,0.7646649999999999,0.75974,0.501491588235294,0.8319049999999999,0.8037949999999999,0.6785072222222222,0.8087949999999999,0.5540004545454544,0.8331949999999999,0.825685,0.7331349999999999,0.7538349999999999,0.5258872857142857,0.8109,0.7367883333333333,0.7155292857142856,0.7052525,0.7128749999999999,0.7594683333333332,0.823765,0.81902,0.8127549999999999,0.6882809259259258,0.798295,0.727330172413793,0.7912549999999999,0.8396024999999999,0.6986421428571428,0.7772349999999999,0.6228383333333333,0.7771399999999999,0.7390849999999999,0.7595149999999999,0.7580189999999999,0.779605,0.7366383333333333,0.6598375,0.5996116666666665,0.7506769999999999,0.7682009999999999,0.8143849999999999,0.7737483333333333,0.6568511538461538,0.5995594999999999,0.795615,0.8317549999999999,0.7871549999999999,0.784295,0.65987,0.787215,0.6509174999999999,0.8404849999999999,0.866625,0.877195,0.8908149999999999,0.7775249999999999,0.7819649999999999,0.864355,0.673585,0.5183641228070175,0.6920616666666667,0.6289674999999999,0.6411183333333332,0.6717916666666666,0.7542349999999999,0.680665,0.7164166666666666,0.668005,0.636625,0.83622,0.5346111538461538,0.4687734615384616,0.757795,0.6758583333333333,0.6846038888888889,0.701595,0.744995,0.6896289999999999,0.7628750000000001,0.6798167857142857,0.7994650000000001,0.6529543103448276,0.777845,0.7683066129032258,0.7413315,0.8351535714285715,0.7552810000000001,0.8168290000000001,0.7523725,0.8301550000000001,0.7555527777777779,0.875245,0.8350175000000001,0.82088,0.8485100000000001,0.8329725000000001,0.7918221428571429,0.7262823684210526,0.51260625,0.753435,0.7830849999999999,0.8028,0.7875800000000001
ASV 5,0.9300444364754099,0.9730933114754099,0.3392479781420765,0.25518131147540984,0.12655631147540983,0.0,0.10304131147540983,0.14124131147540983,0.13134631147540982,0.4915874405076679,0.3239973114754099,0.4307663114754098,0.6410827400468383,0.6391267660208643,0.6313767660208643,0.6519563114754098,0.6782813114754097,0.6972613114754097,0.6097813114754097,0.6837413114754097,0.6633573114754098,0.6460588114754098,0.44665847814207654,0.9944938114754098,0.9732713114754098,0.9495546448087432,0.8826213114754099,0.9245244693701467,0.9264813114754098,1.01092631147541,0.913849103683202,0.8138794364754098,0.9489393114754099,0.6664593114754097,0.6984615075538411,0.7268213114754097,0.7069579781420764,0.6445915155570424,0.47608209799226386,0.806914644808743,0.750940644808743,0.6885363114754097,0.5392326272648834,0.7302213114754097,0.7413113114754096,0.7363863114754097,0.47813789971070403,0.8085513114754097,0.7804413114754097,0.655153533697632,0.7854413114754097,0.5306467660208644,0.8098413114754096,0.8023313114754097,0.7097813114754097,0.7304813114754096,0.5025335971896956,0.7875463114754097,0.713434644808743,0.6921755971896955,0.6818988114754098,0.6895213114754097,0.736114644808743,0.8004113114754097,0.7956663114754097,0.7894013114754097,0.6649272374013356,0.7749413114754097,0.7039764838892029,0.7679013114754097,0.8162488114754097,0.6752884543325526,0.7538813114754097,0.5994846448087431,0.7537863114754098,0.7157313114754097,0.7361613114754098,0.7346653114754097,0.7562513114754097,0.713284644808743,0.6364838114754097,0.5762579781420764,0.7273233114754097,0.7448473114754097,0.7910313114754096,0.7503946448087431,0.6334974653215636,0.5762058114754097,0.7722613114754097,0.8084013114754096,0.7638013114754096,0.7609413114754097,0.6365163114754098,0.7638613114754097,0.6275638114754097,0.8171313114754096,0.8432713114754097,0.8538413114754096,0.8674613114754097,0.7541713114754096,0.7586113114754096,0.8410013114754097,0.6502313114754097,0.4950104342824274,0.6687079781420764,0.6056138114754097,0.617764644808743,0.6484379781420764,0.7308813114754097,0.6573113114754098,0.6930629781420764,0.6446513114754098,0.6132713114754097,0.8128663114754097,0.5112574653215637,0.4454197730138714,0.7344413114754098,0.652504644808743,0.6612502003642986,0.6782413114754098,0.7216413114754097,0.6662753114754097,0.7395213114754098,0.6564630971896954,0.7761113114754098,0.6296006218202373,0.7544913114754097,0.7449529243786355,0.7179778114754097,0.8117998829039812,0.7319273114754098,0.7934753114754098,0.7290188114754097,0.8068013114754098,0.7321990892531876,0.8518913114754098,0.8116638114754098,0.7975263114754098,0.8251563114754098,0.8096188114754098,0.7684684543325526,0.7029286798964623,0.4892525614754098,0.7300813114754098,0.7597313114754097,0.7794463114754098,0.7642263114754098
ASV 6,0.9867831250000001,1.029832,0.3959866666666667,0.31192000000000003,0.183295,0.10304131147540983,0.0,0.19798000000000002,0.188085,0.5483261290322581,0.380736,0.48750499999999997,0.6978214285714285,0.6958654545454545,0.6881154545454544,0.708695,0.7350199999999999,0.7539999999999999,0.6665199999999999,0.7404799999999999,0.720096,0.7027975,0.5033971666666668,1.0512325,1.0300099999999999,1.0062933333333333,0.9393600000000001,0.9812631578947368,0.98322,1.067665,0.9705877922077922,0.8706181250000001,1.005678,0.7231979999999999,0.7552001960784313,0.7835599999999999,0.7636966666666666,0.7013302040816325,0.5328207865168538,0.8636533333333333,0.8076793333333332,0.7452749999999999,0.5959713157894736,0.7869599999999999,0.7980499999999998,0.7931249999999999,0.534876588235294,0.8652899999999999,0.8371799999999999,0.7118922222222221,0.8421799999999999,0.5873854545454545,0.8665799999999999,0.8590699999999999,0.7665199999999999,0.7872199999999998,0.5592722857142857,0.8442849999999998,0.7701733333333332,0.7489142857142856,0.7386375,0.7462599999999999,0.7928533333333332,0.8571499999999999,0.8524049999999999,0.8461399999999999,0.7216659259259258,0.8316799999999999,0.760715172413793,0.8246399999999999,0.8729874999999999,0.7320271428571428,0.8106199999999999,0.6562233333333332,0.8105249999999999,0.7724699999999999,0.7928999999999999,0.7914039999999999,0.8129899999999999,0.7700233333333332,0.6932224999999999,0.6329966666666665,0.7840619999999999,0.8015859999999999,0.8477699999999998,0.8071333333333333,0.6902361538461537,0.6329444999999999,0.8289999999999998,0.8651399999999999,0.8205399999999998,0.8176799999999999,0.6932549999999998,0.8205999999999999,0.6843024999999999,0.8738699999999999,0.9000099999999999,0.9105799999999998,0.9241999999999998,0.8109099999999998,0.8153499999999998,0.8977399999999999,0.7069699999999999,0.5517491228070175,0.7254466666666666,0.6623524999999999,0.6745033333333332,0.7051766666666666,0.7876199999999999,0.7140499999999999,0.7498016666666666,0.7013899999999998,0.6700099999999999,0.869605,0.5679961538461538,0.5021584615384616,0.79118,0.7092433333333332,0.7179888888888888,0.73498,0.7783799999999998,0.7230139999999999,0.79626,0.7132017857142856,0.83285,0.6863393103448275,0.8112299999999999,0.8016916129032257,0.7747164999999999,0.8685385714285715,0.788666,0.850214,0.7857574999999999,0.8635400000000001,0.7889377777777777,0.9086299999999999,0.8684025000000001,0.8542649999999999,0.8818950000000001,0.8663575000000001,0.8252071428571428,0.7596673684210525,0.5459912499999999,0.78682,0.8164699999999999,0.836185,0.820965
ASV 7,0.9680831250000002,1.0111320000000001,0.3772866666666667,0.29322,0.136455,0.14124131147540983,0.19798000000000002,0.0,0.088785,0.529626129032258,0.362036,0.468805,0.6791214285714285,0.6771654545454545,0.6694154545454545,0.6899949999999999,0.71632,0.7353,0.64782,0.72178,0.7013959999999999,0.6840974999999999,0.4846971666666667,1.0325325,1.01131,0.9875933333333334,0.9206600000000001,0.9625631578947369,0.96452,1.0489650000000001,0.9518877922077923,0.8519181250000001,0.9869780000000001,0.704498,0.7365001960784312,0.76486,0.7449966666666666,0.6826302040816326,0.514120786516854,0.8449533333333332,0.7889793333333333,0.726575,0.5772713157894735,0.7682599999999998,0.7793499999999999,0.7744249999999999,0.5161765882352942,0.8465899999999998,0.8184799999999999,0.6931922222222221,0.8234799999999999,0.5686854545454545,0.8478799999999999,0.84037,0.7478199999999998,0.7685199999999999,0.5405722857142856,0.8255849999999999,0.7514733333333332,0.7302142857142856,0.7199374999999999,0.7275599999999999,0.7741533333333331,0.8384499999999999,0.8337049999999999,0.8274399999999998,0.7029659259259258,0.8129799999999999,0.742015172413793,0.8059399999999999,0.8542874999999999,0.7133271428571427,0.7919199999999998,0.6375233333333332,0.7918249999999999,0.7537699999999998,0.7741999999999999,0.7727039999999998,0.7942899999999999,0.7513233333333332,0.6745224999999999,0.6142966666666666,0.7653619999999999,0.7828859999999999,0.8290699999999999,0.7884333333333332,0.6715361538461537,0.6142444999999999,0.8102999999999999,0.8464399999999999,0.8018399999999999,0.7989799999999999,0.6745549999999999,0.8019,0.6656024999999999,0.8551699999999999,0.8813099999999999,0.8918799999999999,0.9054999999999999,0.7922099999999999,0.7966499999999999,0.8790399999999999,0.6882699999999999,0.5330491228070174,0.7067466666666666,0.6436525,0.6558033333333333,0.6864766666666666,0.7689199999999998,0.6953499999999999,0.7311016666666665,0.6826899999999999,0.65131,0.8509049999999999,0.5492961538461537,0.48345846153846156,0.7724799999999999,0.6905433333333333,0.6992888888888888,0.7162799999999999,0.7596799999999999,0.7043139999999999,0.77756,0.6945017857142857,0.81415,0.6676393103448276,0.79253,0.7829916129032257,0.7560165,0.8498385714285714,0.769966,0.8315140000000001,0.7670575,0.84484,0.7702377777777778,0.88993,0.8497025,0.835565,0.863195,0.8476575000000001,0.8065071428571429,0.7409673684210526,0.52729125,0.7681199999999999,0.7977699999999999,0.8174849999999999,0.802265
ASV 8,0.9581881250000002,1.0012370000000002,0.36739166666666667,0.283325,0.12656,0.13134631147540982,0.188085,0.088785,0.0,0.519731129032258,0.35214100000000004,0.45891000000000004,0.6692264285714286,0.6672704545454545,0.6595204545454545,0.6800999999999999,0.706425,0.725405,0.637925,0.711885,0.6915009999999999,0.6742024999999999,0.4748021666666667,1.0226374999999999,1.001415,0.9776983333333333,0.910765,0.9526681578947368,0.954625,1.03907,0.9419927922077922,0.8420231250000001,0.977083,0.694603,0.7266051960784312,0.754965,0.7351016666666667,0.6727352040816326,0.504225786516854,0.8350583333333332,0.7790843333333333,0.71668,0.5673763157894736,0.7583649999999998,0.7694549999999999,0.7645299999999999,0.5062815882352942,0.8366949999999999,0.8085849999999999,0.6832972222222221,0.8135849999999999,0.5587904545454545,0.8379849999999999,0.830475,0.7379249999999998,0.7586249999999999,0.5306772857142856,0.8156899999999999,0.7415783333333332,0.7203192857142856,0.7100424999999999,0.7176649999999999,0.7642583333333332,0.8285549999999999,0.8238099999999999,0.8175449999999999,0.6930709259259258,0.8030849999999999,0.732120172413793,0.7960449999999999,0.8443924999999999,0.7034321428571427,0.7820249999999999,0.6276283333333332,0.7819299999999999,0.7438749999999998,0.7643049999999999,0.7628089999999998,0.784395,0.7414283333333332,0.6646274999999999,0.6044016666666666,0.7554669999999999,0.7729909999999999,0.8191749999999999,0.7785383333333332,0.6616411538461537,0.6043494999999999,0.8004049999999999,0.8365449999999999,0.7919449999999999,0.7890849999999999,0.6646599999999999,0.792005,0.6557074999999999,0.8452749999999999,0.8714149999999999,0.8819849999999999,0.8956049999999999,0.7823149999999999,0.7867549999999999,0.869145,0.678375,0.5231541228070175,0.6968516666666666,0.6337575,0.6459083333333333,0.6765816666666665,0.7590249999999998,0.6854549999999999,0.7212066666666666,0.6727949999999999,0.641415,0.8410099999999999,0.5394011538461537,0.47356346153846157,0.762585,0.6806483333333333,0.6893938888888889,0.7063849999999999,0.7497849999999999,0.6944189999999999,0.767665,0.6846067857142857,0.804255,0.6577443103448276,0.782635,0.7730966129032257,0.7461215,0.8399435714285715,0.760071,0.8216190000000001,0.7571625,0.834945,0.7603427777777778,0.880035,0.8398075,0.82567,0.8533000000000001,0.8377625000000001,0.7966121428571429,0.7310723684210526,0.5173962500000001,0.7582249999999999,0.7878749999999999,0.8075899999999999,0.79237
ASV 9,0.8687292540322582,0.9117781290322582,0.47745279569892474,0.3933861290322581,0.5149411290322581,0.4915874405076679,0.5483261290322581,0.529626129032258,0.519731129032258,0.0,0.4369821290322581,0.43777112903225807,0.5797675576036867,0.5778115835777127,0.5700615835777126,0.5906411290322581,0.6169661290322581,0.635946129032258,0.5484661290322581,0.622426129032258,0.6020421290322581,0.5847436290322581,0.3853432956989247,0.9331786290322581,0.9119561290322581,0.8882394623655915,0.8213061290322582,0.863209286926995,0.8651661290322581,0.9496111290322582,0.8525339212400503,0.7525642540322581,0.8876241290322582,0.6051441290322581,0.6371463251106894,0.665506129032258,0.6456427956989247,0.5832763331138907,0.41476691554911205,0.7455994623655914,0.6896254623655914,0.6272211290322581,0.4779174448217318,0.668906129032258,0.6799961290322579,0.6750711290322581,0.4168227172675522,0.747236129032258,0.719126129032258,0.5938383512544803,0.724126129032258,0.46933158357771265,0.7485261290322579,0.741016129032258,0.648466129032258,0.669166129032258,0.4412184147465439,0.726231129032258,0.6521194623655914,0.6308604147465438,0.620583629032258,0.628206129032258,0.6747994623655913,0.7390961290322581,0.7343511290322581,0.728086129032258,0.6036120549581839,0.713626129032258,0.6426613014460512,0.706586129032258,0.754933629032258,0.6139732718894009,0.692566129032258,0.5381694623655914,0.692471129032258,0.654416129032258,0.674846129032258,0.673350129032258,0.6949361290322581,0.6519694623655913,0.5751686290322581,0.5149427956989248,0.666008129032258,0.683532129032258,0.7297161290322579,0.6890794623655914,0.5721822828784119,0.5148906290322581,0.710946129032258,0.747086129032258,0.702486129032258,0.699626129032258,0.5752011290322581,0.702546129032258,0.566248629032258,0.7558161290322579,0.781956129032258,0.7925261290322579,0.8061461290322579,0.692856129032258,0.697296129032258,0.779686129032258,0.5889161290322581,0.4336952518392757,0.6073927956989248,0.544298629032258,0.5564494623655913,0.5871227956989247,0.669566129032258,0.5959961290322581,0.6317477956989247,0.5833361290322581,0.5519561290322581,0.751551129032258,0.449942282878412,0.3841045905707196,0.6731261290322581,0.5911894623655914,0.599935017921147,0.6169261290322581,0.660326129032258,0.604960129032258,0.6782061290322581,0.5951479147465438,0.7147961290322582,0.5682854393770858,0.693176129032258,0.6836377419354838,0.6566626290322581,0.7504847004608295,0.6706121290322582,0.7321601290322581,0.667703629032258,0.7454861290322581,0.6708839068100358,0.7905761290322582,0.7503486290322581,0.7362111290322582,0.7638411290322582,0.7483036290322582,0.7071532718894009,0.6416134974533108,0.4279373790322581,0.6687661290322581,0.698416129032258,0.7181311290322581,0.702911129032258
